Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
0.0 s,-0.11 m,-4.87 m,0.50 m,-0.00 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
0.07 s,-0.11 m,-4.87 m,0.50 m,-0.00 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
0.19 s,-0.12 m,-4.87 m,0.50 m,0.01 m/s,0.00 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
0.21 s,-0.12 m,-4.87 m,0.50 m,0.01 m/s,0.00 m/s,0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.34 s,-0.12 m,-4.87 m,0.50 m,0.03 m/s,0.00 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.47 s,-0.11 m,-4.87 m,0.50 m,0.05 m/s,0.00 m/s,0.00 m/s,0.03 rad,0.00 rad,-0.00 rad,0 pixels
0.59 s,-0.11 m,-4.87 m,0.50 m,0.07 m/s,0.00 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.73 s,-0.10 m,-4.87 m,0.50 m,0.09 m/s,0.00 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.84 s,-0.09 m,-4.87 m,0.50 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.97 s,-0.08 m,-4.87 m,0.50 m,0.12 m/s,0.00 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.1 s,-0.06 m,-4.87 m,0.50 m,0.12 m/s,0.00 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.23 s,-0.05 m,-4.87 m,0.50 m,0.13 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.35 s,-0.04 m,-4.87 m,0.50 m,0.14 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.48 s,-0.02 m,-4.87 m,0.50 m,0.14 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.6 s,-0.01 m,-4.87 m,0.50 m,0.14 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
1.73 s,0.01 m,-4.87 m,0.50 m,0.14 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
1.85 s,0.02 m,-4.87 m,0.50 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
1.99 s,0.03 m,-4.87 m,0.50 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
2.12 s,0.05 m,-4.87 m,0.50 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
2.25 s,0.06 m,-4.87 m,0.50 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
2.38 s,0.08 m,-4.87 m,0.50 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
2.5 s,0.09 m,-4.87 m,0.50 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
2.62 s,0.10 m,-4.87 m,0.50 m,0.13 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
2.76 s,0.12 m,-4.87 m,0.50 m,0.13 m/s,0.00 m/s,-0.00 m/s,-0.00 rad,0.00 rad,-0.00 rad,0 pixels
2.88 s,0.13 m,-4.87 m,0.50 m,0.13 m/s,-0.00 m/s,-0.00 m/s,-0.00 rad,0.00 rad,-0.00 rad,0 pixels
3.0 s,0.14 m,-4.87 m,0.50 m,0.13 m/s,-0.00 m/s,-0.00 m/s,-0.00 rad,0.00 rad,-0.00 rad,0 pixels
3.12 s,0.16 m,-4.87 m,0.50 m,0.12 m/s,-0.00 m/s,-0.00 m/s,-0.00 rad,0.00 rad,-0.00 rad,0 pixels
