Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
17.6 s,-4.80 m,7.52 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018660736638673328,0.0013937516507303521,-1.58023401,-9 pixels,N/A,N/A,N/A
17.72 s,-4.80 m,7.51 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017709501379594404,0.001383860258941446,-1.580194431,-10 pixels,N/A,N/A,N/A
17.84 s,-4.80 m,7.50 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016834150775229919,0.0013822724770444447,-1.580284178,-10 pixels,N/A,N/A,N/A
17.97 s,-4.80 m,7.49 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0016554082797651016,0.0013665995636432786,-1.580249661,-10 pixels,N/A,N/A,N/A
18.1 s,-4.80 m,7.48 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016308455878804474,0.00142730811411698,-1.580382225,-10 pixels,N/A,N/A,N/A
18.23 s,-4.80 m,7.47 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0015853924343917855,0.0014233720268322456,-1.58035132,-10 pixels,N/A,N/A,N/A
18.37 s,-4.80 m,7.46 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016309738556032373,0.0014498709737492536,-1.580525842,-10 pixels,N/A,N/A,N/A
18.49 s,-4.80 m,7.45 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001728670067638535,0.0014734239399333186,-1.580471489,-10 pixels,N/A,N/A,N/A
18.63 s,-4.80 m,7.44 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018720185749209707,0.0014298743507082325,-1.580568811,-10 pixels,N/A,N/A,N/A
18.75 s,-4.80 m,7.43 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019307325187358174,0.0014969920937665654,-1.580561232,-10 pixels,N/A,N/A,N/A
18.87 s,-4.80 m,7.42 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020127862191847293,0.001470294483858537,-1.58065563,-10 pixels,N/A,N/A,N/A
19.01 s,-4.80 m,7.41 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021012188053952407,0.001517889059085329,-1.580549736,-10 pixels,N/A,N/A,N/A
19.13 s,-4.80 m,7.40 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002116731479591291,0.0014376395690067012,-1.580652501,-10 pixels,N/A,N/A,N/A
19.25 s,-4.81 m,7.39 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020501323044198696,0.0014793643137661933,-1.580623282,-10 pixels,N/A,N/A,N/A
19.38 s,-4.81 m,7.38 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019764721290809464,0.001434063084561459,-1.580754544,-11 pixels,N/A,N/A,N/A
19.5 s,-4.81 m,7.37 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019921570604430265,0.0004511361542260032,-1.580650502,-11 pixels,N/A,N/A,N/A
19.63 s,-4.81 m,7.36 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019814115959848433,0.0006234217578494742,-1.580716759,-11 pixels,N/A,N/A,N/A
19.75 s,-4.81 m,7.35 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019891150530996146,-0.000199871,-1.580673101,-11 pixels,N/A,N/A,N/A
19.89 s,-4.81 m,7.34 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020301623849788087,-0.002671725,-1.580711556,-12 pixels,N/A,N/A,N/A
20.02 s,-4.81 m,7.33 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020326157048089115,-0.000984295,-1.580792338,-11 pixels,N/A,N/A,N/A
20.13 s,-4.81 m,7.32 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0020794922258813913,0.0012288045698832387,-1.580840989,-11 pixels,N/A,N/A,N/A
20.25 s,-4.80 m,7.31 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0021324461854539565,0.0010813484647515827,-1.58084263,-10 pixels,N/A,N/A,N/A
20.38 s,-4.80 m,7.30 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0021022955054135926,0.00046042453728103864,-1.58089887,-10 pixels,N/A,N/A,N/A
20.5 s,-4.80 m,7.29 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.001980185293758246,0.0019552846373033055,-1.580705096,-10 pixels,N/A,N/A,N/A
20.62 s,-4.80 m,7.28 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.001932367883168832,0.002639507310285813,-1.580845869,-9 pixels,N/A,N/A,N/A
20.74 s,-4.80 m,7.27 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019519810789448402,0.0028786530188888047,-1.580825606,-9 pixels,N/A,N/A,N/A
20.87 s,-4.80 m,7.26 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019768500916880084,0.002610569224687394,-1.580898027,-9 pixels,N/A,N/A,N/A
20.99 s,-4.80 m,7.25 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019229886332443231,0.0025233546468677727,-1.580947733,-9 pixels,N/A,N/A,N/A
21.12 s,-4.80 m,7.24 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019730356327352584,0.002282720744063089,-1.581083392,-9 pixels,N/A,N/A,N/A
21.24 s,-4.80 m,7.23 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020172892340419085,0.002213199278892778,-1.58110154,-9 pixels,N/A,N/A,N/A
21.38 s,-4.80 m,7.22 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002071542316987666,0.002015978589180019,-1.58117048,-9 pixels,N/A,N/A,N/A
21.5 s,-4.80 m,7.21 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002100344312208935,0.001891946085066298,-1.581253949,-9 pixels,N/A,N/A,N/A
21.62 s,-4.80 m,7.20 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0022043450453690535,0.0017394739987881712,-1.581242762,-9 pixels,N/A,N/A,N/A
21.74 s,-4.80 m,7.19 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002258387303311468,0.0015886445557700116,-1.581270255,-9 pixels,N/A,N/A,N/A
21.87 s,-4.80 m,7.18 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0022970999453036847,0.0014621948780298214,-1.581218207,-10 pixels,N/A,N/A,N/A
21.99 s,-4.80 m,7.17 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021823604471373683,0.001462487860732508,-1.581279346,-10 pixels,N/A,N/A,N/A
22.1 s,-4.80 m,7.16 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021272187979271334,0.0013583168667589166,-1.581339131,-10 pixels,N/A,N/A,N/A
22.22 s,-4.80 m,7.15 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002096724116183316,0.0013589020686672728,-1.581259366,-10 pixels,N/A,N/A,N/A
22.34 s,-4.80 m,7.14 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002159369265473712,0.0012055432324759297,-1.581388251,-10 pixels,N/A,N/A,N/A
22.46 s,-4.80 m,7.13 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002140896841490093,0.0011983622536465692,-1.5813403,-10 pixels,N/A,N/A,N/A
22.59 s,-4.80 m,7.12 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020738549474620064,0.0011639907559820876,-1.581407542,-10 pixels,N/A,N/A,N/A
22.71 s,-4.81 m,7.11 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019743404273272315,0.0012322138859253199,-1.581378224,-10 pixels,N/A,N/A,N/A
22.83 s,-4.81 m,7.10 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001930186529931351,0.0011630062624169793,-1.581423881,-11 pixels,N/A,N/A,N/A
22.95 s,-4.81 m,7.09 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001894138450512629,-3.10E-05,-1.581412813,-11 pixels,N/A,N/A,N/A
23.09 s,-4.81 m,7.08 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018384065222688257,-0.003722576,-1.581455056,-12 pixels,N/A,N/A,N/A
23.21 s,-4.81 m,7.07 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0018189631468537525,-0.002745194,-1.581493978,-12 pixels,N/A,N/A,N/A
23.33 s,-4.80 m,7.06 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0018527766151757294,-0.000761254,-1.581528258,-11 pixels,N/A,N/A,N/A
23.45 s,-4.80 m,7.05 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0018438468792119959,0.0013278968206078443,-1.581650653,-10 pixels,N/A,N/A,N/A
23.58 s,-4.80 m,7.04 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0019362824354255926,0.0025053428518487203,-1.581666384,-9 pixels,N/A,N/A,N/A
23.7 s,-4.80 m,7.03 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0019554349833547377,0.002909280676282232,-1.581659305,-9 pixels,N/A,N/A,N/A
23.82 s,-4.80 m,7.02 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.0019228672751184805,0.0027934380081747973,-1.581820047,-9 pixels,N/A,N/A,N/A
23.94 s,-4.80 m,7.01 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019326514928310005,0.0026665452790211835,-1.581803375,-9 pixels,N/A,N/A,N/A
24.06 s,-4.80 m,7.00 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019991077538090655,0.0024409276469434323,-1.581936903,-8 pixels,N/A,N/A,N/A
24.18 s,-4.80 m,6.99 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020231858862233736,0.002271344394056496,-1.581907166,-8 pixels,N/A,N/A,N/A
24.31 s,-4.80 m,6.98 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021476067728197976,0.002063393256143708,-1.582016544,-8 pixels,N/A,N/A,N/A
24.43 s,-4.80 m,6.97 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002178781096810094,0.001890021228882024,-1.581995473,-8 pixels,N/A,N/A,N/A
24.55 s,-4.80 m,6.96 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002219068493272985,0.0018005995800537238,-1.582062678,-8 pixels,N/A,N/A,N/A
24.66 s,-4.80 m,6.95 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021680349099845835,0.0016404824345815673,-1.582002385,-9 pixels,N/A,N/A,N/A
24.78 s,-4.80 m,6.94 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021300540564083486,0.001563172793578299,-1.581996412,-9 pixels,N/A,N/A,N/A
24.9 s,-4.80 m,6.93 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021454959322830622,0.0014150220834624214,-1.582001798,-9 pixels,N/A,N/A,N/A
25.03 s,-4.80 m,6.92 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020152450193386164,0.0013675394677912117,-1.582049968,-9 pixels,N/A,N/A,N/A
25.17 s,-4.80 m,6.91 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019552065911108488,0.001311313370741732,-1.582049211,-9 pixels,N/A,N/A,N/A
25.3 s,-4.80 m,6.90 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019549587583925446,0.0012927220586380324,-1.582163173,-9 pixels,N/A,N/A,N/A
25.42 s,-4.80 m,6.89 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019045222614070376,0.0012606626083095545,-1.582203633,-9 pixels,N/A,N/A,N/A
25.54 s,-4.80 m,6.88 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001866498528453734,0.0012739721065945582,-1.582398126,-9 pixels,N/A,N/A,N/A
25.67 s,-4.80 m,6.87 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018156856011079595,0.0012979816534785628,-1.582403582,-9 pixels,N/A,N/A,N/A
25.79 s,-4.80 m,6.86 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017935287094540434,0.0012390769534681794,-1.582483401,-9 pixels,N/A,N/A,N/A
25.91 s,-4.80 m,6.85 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017557541360319073,0.0012645565455281405,-1.582506658,-9 pixels,N/A,N/A,N/A
26.03 s,-4.80 m,6.84 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017818442500311129,0.001187640377959095,-1.582555586,-9 pixels,N/A,N/A,N/A
26.15 s,-4.80 m,6.83 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017422331970249653,0.001169933719420084,-1.582530053,-9 pixels,N/A,N/A,N/A
26.28 s,-4.80 m,6.82 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017186092106350884,0.0011989852585049135,-1.582622457,-9 pixels,N/A,N/A,N/A
26.41 s,-4.80 m,6.81 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017144721962746065,0.0011984306095786316,-1.582595254,-9 pixels,N/A,N/A,N/A
26.53 s,-4.80 m,6.80 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017409011164125816,0.0012019746175200709,-1.582656415,-9 pixels,N/A,N/A,N/A
26.66 s,-4.80 m,6.79 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018416806047418786,0.0012368681738240317,-1.582610633,-9 pixels,N/A,N/A,N/A
26.78 s,-4.80 m,6.79 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018926777808349424,0.0012904366816657805,-1.582747796,-9 pixels,N/A,N/A,N/A
26.9 s,-4.80 m,6.78 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019369976546924456,0.0012763548209766267,-1.58268607,-9 pixels,N/A,N/A,N/A
27.02 s,-4.80 m,6.77 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001992603049459291,0.0012960366720189383,-1.582734868,-9 pixels,N/A,N/A,N/A
27.14 s,-4.80 m,6.76 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002074856131787479,0.0012173422162008382,-1.582706582,-9 pixels,N/A,N/A,N/A
27.25 s,-4.80 m,6.75 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020716127748840224,0.0012657386768412694,-1.582784611,-9 pixels,N/A,N/A,N/A
27.38 s,-4.80 m,6.74 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002085642086440464,0.0012827541627537646,-1.5828392,-9 pixels,N/A,N/A,N/A
27.5 s,-4.80 m,6.73 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00203220001695832,0.0013657392324172564,-1.582808242,-9 pixels,N/A,N/A,N/A
27.62 s,-4.80 m,6.72 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002075176649916757,0.0013862550052988845,-1.58288658,-9 pixels,N/A,N/A,N/A
27.75 s,-4.80 m,6.71 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00209234541770488,0.0014203925898410605,-1.582903031,-9 pixels,N/A,N/A,N/A
27.87 s,-4.80 m,6.70 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021581023081695405,0.0014681240850692371,-1.582985285,-9 pixels,N/A,N/A,N/A
27.98 s,-4.80 m,6.69 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002100138784731532,0.0014586540605316146,-1.582930904,-10 pixels,N/A,N/A,N/A
28.1 s,-4.80 m,6.68 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021121148657108307,0.001461838415191176,-1.582964478,-10 pixels,N/A,N/A,N/A
28.22 s,-4.80 m,6.67 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002050502914895911,0.0014227215518534133,-1.582992894,-10 pixels,N/A,N/A,N/A
28.34 s,-4.80 m,6.66 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020882649110235776,0.0013635432039190798,-1.582968118,-10 pixels,N/A,N/A,N/A
28.46 s,-4.80 m,6.65 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020494179167412016,0.001425972788407621,-1.582945834,-10 pixels,N/A,N/A,N/A
28.58 s,-4.80 m,6.64 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021141838479346174,0.0013833116870959916,-1.583048113,-10 pixels,N/A,N/A,N/A
28.7 s,-4.80 m,6.63 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002070997777310132,0.0014906304954776623,-1.583056431,-10 pixels,N/A,N/A,N/A
28.82 s,-4.80 m,6.62 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002077940196720454,0.0014155901135510251,-1.58309716,-10 pixels,N/A,N/A,N/A
28.95 s,-4.80 m,6.61 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020045738735404075,0.0014210580612875892,-1.583084847,-10 pixels,N/A,N/A,N/A
29.06 s,-4.80 m,6.60 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020185373418550433,0.001397492722452536,-1.58308805,-10 pixels,N/A,N/A,N/A
29.18 s,-4.80 m,6.60 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019252320504432778,0.001457173748228565,-1.583128369,-10 pixels,N/A,N/A,N/A
29.3 s,-4.80 m,6.59 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019431370072712855,0.0014070618352753032,-1.583134677,-10 pixels,N/A,N/A,N/A
29.42 s,-4.80 m,6.58 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019441427874437199,0.0014692205274238193,-1.583128445,-10 pixels,N/A,N/A,N/A
29.54 s,-4.80 m,6.57 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002039120316366941,0.00143788465045296,-1.583242107,-10 pixels,N/A,N/A,N/A
29.66 s,-4.81 m,6.56 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020479252480243553,0.0015041940016587364,-1.583210214,-10 pixels,N/A,N/A,N/A
29.78 s,-4.81 m,6.55 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002111353432365799,0.0014294176240231351,-1.583224092,-10 pixels,N/A,N/A,N/A
29.9 s,-4.81 m,6.54 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002179409495397155,0.001510942558009669,-1.583343756,-11 pixels,N/A,N/A,N/A
30.02 s,-4.81 m,6.53 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0022208471875964537,5.876015485017929e-05,-1.583344969,-11 pixels,N/A,N/A,N/A
30.14 s,-4.81 m,6.51 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002069655460422835,-0.001627585,-1.583338697,-11 pixels,N/A,N/A,N/A
30.26 s,-4.81 m,6.50 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019829923330032984,-0.000470042,-1.583448561,-11 pixels,N/A,N/A,N/A
30.38 s,-4.81 m,6.49 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018786633466146398,0.001301566443297032,-1.583388293,-11 pixels,N/A,N/A,N/A
30.49 s,-4.81 m,6.48 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019188483232365472,0.00037680616596637653,-1.583345375,-10 pixels,N/A,N/A,N/A
30.61 s,-4.81 m,6.47 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018600952344888775,-0.000264801,-1.583343006,-11 pixels,N/A,N/A,N/A
30.73 s,-4.80 m,6.46 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.001917078975790778,-0.000108798,-1.583429679,-10 pixels,N/A,N/A,N/A
30.85 s,-4.80 m,6.45 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0018603367432266122,0.001317044828612235,-1.583514157,-10 pixels,N/A,N/A,N/A
30.97 s,-4.80 m,6.44 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0019442077191358456,0.0024330373962502786,-1.583486188,-10 pixels,N/A,N/A,N/A
31.09 s,-4.80 m,6.43 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001961862843542569,0.002840177303289877,-1.583732775,-9 pixels,N/A,N/A,N/A
31.21 s,-4.80 m,6.42 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019801355993523937,0.002824253826699413,-1.58375024,-9 pixels,N/A,N/A,N/A
31.32 s,-4.80 m,6.41 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002034825139531542,0.002570833482188175,-1.583784314,-9 pixels,N/A,N/A,N/A
31.44 s,-4.80 m,6.40 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020111924930863844,0.0023449872209827765,-1.583867159,-9 pixels,N/A,N/A,N/A
31.56 s,-4.80 m,6.39 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002031229861918077,0.0021535068075446764,-1.583901238,-9 pixels,N/A,N/A,N/A
31.68 s,-4.80 m,6.37 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019425567173114273,0.0019280494355403382,-1.583933857,-9 pixels,N/A,N/A,N/A
31.8 s,-4.80 m,6.36 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002052269082366551,0.001759772252304819,-1.584045617,-9 pixels,N/A,N/A,N/A
31.92 s,-4.80 m,6.35 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020748363227899584,0.0016435685010614647,-1.584019375,-9 pixels,N/A,N/A,N/A
32.05 s,-4.80 m,6.34 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00213066135578333,0.0015419992432866361,-1.58400455,-9 pixels,N/A,N/A,N/A
32.17 s,-4.80 m,6.33 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021545088069134534,0.001456471985795168,-1.584078997,-9 pixels,N/A,N/A,N/A
32.28 s,-4.80 m,6.32 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0022566462440502407,0.0014424752751969758,-1.584087014,-9 pixels,N/A,N/A,N/A
32.4 s,-4.80 m,6.31 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0022121406799348693,0.001330980306199571,-1.584066557,-10 pixels,N/A,N/A,N/A
32.52 s,-4.80 m,6.30 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021953826322192397,0.0013528112530270268,-1.584093675,-10 pixels,N/A,N/A,N/A
32.65 s,-4.80 m,6.29 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021889825109923213,0.0012939031535096695,-1.584139847,-10 pixels,N/A,N/A,N/A
32.77 s,-4.80 m,6.28 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002129615798584123,0.001253557022711236,-1.584125938,-10 pixels,N/A,N/A,N/A
32.89 s,-4.81 m,6.27 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021553595609619604,0.0011811431631484795,-1.584183415,-10 pixels,N/A,N/A,N/A
33.01 s,-4.81 m,6.25 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002029511229953661,0.0012499411387362578,-1.584216304,-10 pixels,N/A,N/A,N/A
33.13 s,-4.81 m,6.24 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00199377361082206,0.0012534745631833694,-1.584199543,-10 pixels,N/A,N/A,N/A
33.25 s,-4.81 m,6.23 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017989155249746164,0.0012660403192069852,-1.584223701,-11 pixels,N/A,N/A,N/A
33.37 s,-4.81 m,6.22 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017515004299183275,0.0005238487826085531,-1.584231716,-11 pixels,N/A,N/A,N/A
33.49 s,-4.81 m,6.21 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0016241114618577568,0.0008458716701811922,-1.584289163,-11 pixels,N/A,N/A,N/A
33.62 s,-4.81 m,6.20 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017008486250152993,-0.00066957,-1.584225243,-11 pixels,N/A,N/A,N/A
33.74 s,-4.81 m,6.19 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0017138960049234429,-0.002812422,-1.584285281,-11 pixels,N/A,N/A,N/A
33.87 s,-4.81 m,6.18 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0017294121929796514,-0.001172099,-1.584289839,-11 pixels,N/A,N/A,N/A
34.0 s,-4.81 m,6.17 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.001855947028949238,0.001389838357295709,-1.584327742,-12 pixels,N/A,N/A,N/A
34.14 s,-4.80 m,6.15 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.00185113457878787,0.0006836071514700413,-1.58445421,-12 pixels,N/A,N/A,N/A
34.27 s,-4.80 m,6.14 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.001945726701855281,-0.000859409,-1.584536462,-12 pixels,N/A,N/A,N/A
34.39 s,-4.80 m,6.13 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002023703057039367,0.0011291200505293604,-1.584610392,-11 pixels,N/A,N/A,N/A
34.51 s,-4.80 m,6.12 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002126517796391899,0.0011941696573117004,-1.584552326,-10 pixels,N/A,N/A,N/A
34.63 s,-4.80 m,6.11 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0020576031335768946,0.000536140608421828,-1.584546305,-10 pixels,N/A,N/A,N/A
34.75 s,-4.80 m,6.10 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.002082721888712801,0.0022037796634518537,-1.584578783,-10 pixels,N/A,N/A,N/A
34.87 s,-4.80 m,6.09 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0021061167085653703,0.0029893431607380364,-1.584722788,-9 pixels,N/A,N/A,N/A
34.99 s,-4.80 m,6.08 m,0.46 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002110797345821012,0.0030790271876301586,-1.584669923,-9 pixels,N/A,N/A,N/A
35.11 s,-4.80 m,6.07 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020735741892458017,0.002850777126139947,-1.584855088,-9 pixels,N/A,N/A,N/A
