Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
4.13 s,-4.84 m,8.50 m,0.46 m,-0.01 m/s,-0.09 m/s,0.00 m/s,-0.000361342,0.0012966011801545348,-1.577464475,-35 pixels,N/A,N/A,N/A
4.27 s,-4.84 m,8.50 m,0.46 m,-0.01 m/s,-0.09 m/s,0.00 m/s,-0.000225301,0.0011227072861209604,-1.577488338,-35 pixels,N/A,N/A,N/A
4.4 s,-4.84 m,8.49 m,0.46 m,-0.01 m/s,-0.09 m/s,0.00 m/s,-0.00011722,0.0011080807147878845,-1.577457223,-34 pixels,N/A,N/A,N/A
4.55 s,-4.84 m,8.48 m,0.46 m,-0.01 m/s,-0.09 m/s,0.00 m/s,6.965412503693172e-05,0.001029852528557885,-1.577448023,-33 pixels,N/A,N/A,N/A
4.69 s,-4.84 m,8.47 m,0.46 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.0002563001801939218,0.0009996011392170185,-1.577502532,-33 pixels,N/A,N/A,N/A
4.83 s,-4.85 m,8.46 m,0.46 m,-0.01 m/s,-0.08 m/s,0.00 m/s,0.0004504059094057314,0.0009386327681991618,-1.577397167,-32 pixels,N/A,N/A,N/A
4.96 s,-4.85 m,8.45 m,0.46 m,-0.01 m/s,-0.08 m/s,-0.00 m/s,0.0006791926858886523,0.0009589102732429371,-1.577451616,-31 pixels,N/A,N/A,N/A
5.09 s,-4.85 m,8.44 m,0.46 m,-0.01 m/s,-0.08 m/s,-0.00 m/s,0.0009216109523454133,0.0008579391885352569,-1.577434559,-31 pixels,N/A,N/A,N/A
5.22 s,-4.85 m,8.44 m,0.46 m,-0.01 m/s,-0.08 m/s,-0.00 m/s,0.001064955086192711,0.0008309568714610367,-1.577465331,-30 pixels,N/A,N/A,N/A
5.34 s,-4.85 m,8.43 m,0.46 m,-0.01 m/s,-0.08 m/s,-0.00 m/s,0.0012743026626897153,0.000751332360344862,-1.577431452,-29 pixels,N/A,N/A,N/A
5.47 s,-4.85 m,8.42 m,0.46 m,-0.01 m/s,-0.08 m/s,-0.00 m/s,0.0014535858963257626,0.0007248965785846419,-1.577480153,-29 pixels,N/A,N/A,N/A
5.59 s,-4.85 m,8.41 m,0.46 m,-0.00 m/s,-0.08 m/s,-0.00 m/s,0.0016422245659773787,0.0007404545464992959,-1.577493476,-28 pixels,N/A,N/A,N/A
5.73 s,-4.85 m,8.40 m,0.46 m,-0.00 m/s,-0.08 m/s,-0.00 m/s,0.0016961087965759658,0.0007529809180676173,-1.577550227,-27 pixels,N/A,N/A,N/A
5.86 s,-4.85 m,8.39 m,0.46 m,-0.00 m/s,-0.08 m/s,-0.00 m/s,0.0017785481143152845,0.0008052092608217639,-1.5775391,-28 pixels,N/A,N/A,N/A
5.99 s,-4.85 m,8.39 m,0.46 m,-0.00 m/s,-0.08 m/s,-0.00 m/s,0.0018317178274027987,-0.001239814,-1.577583448,-28 pixels,N/A,N/A,N/A
6.12 s,-4.85 m,8.38 m,0.46 m,0.00 m/s,-0.08 m/s,-0.00 m/s,0.0018989121339795614,-0.009274864,-1.577593192,-30 pixels,N/A,N/A,N/A
6.25 s,-4.85 m,8.37 m,0.46 m,0.01 m/s,-0.08 m/s,-0.00 m/s,0.0020163467560779208,-0.007179888,-1.57768988,-30 pixels,N/A,N/A,N/A
6.37 s,-4.85 m,8.36 m,0.46 m,0.02 m/s,-0.08 m/s,-0.00 m/s,0.002151990276542769,-0.000750537,-1.577667342,-27 pixels,N/A,N/A,N/A
6.5 s,-4.85 m,8.35 m,0.46 m,0.02 m/s,-0.08 m/s,-0.00 m/s,0.002277230120112552,0.0010149290289592123,-1.577751486,-26 pixels,N/A,N/A,N/A
6.63 s,-4.85 m,8.35 m,0.46 m,0.02 m/s,-0.08 m/s,-0.00 m/s,0.0024402187541310593,-0.003623199,-1.577662867,-27 pixels,N/A,N/A,N/A
6.76 s,-4.84 m,8.34 m,0.46 m,0.02 m/s,-0.08 m/s,-0.00 m/s,0.0025808469149159958,-0.00176367,-1.577699313,-25 pixels,N/A,N/A,N/A
6.88 s,-4.84 m,8.33 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.002666041427304744,0.00024482847287699916,-1.577749583,-24 pixels,N/A,N/A,N/A
7.0 s,-4.84 m,8.32 m,0.46 m,0.03 m/s,-0.09 m/s,-0.00 m/s,0.002703848285647676,-0.004903524,-1.577785196,-24 pixels,N/A,N/A,N/A
7.12 s,-4.84 m,8.31 m,0.46 m,0.03 m/s,-0.09 m/s,-0.00 m/s,0.002698177126475083,-0.006419634,-1.577800348,-24 pixels,N/A,N/A,N/A
7.25 s,-4.83 m,8.30 m,0.46 m,0.04 m/s,-0.09 m/s,-0.00 m/s,0.0026622822214168456,-0.002110422,-1.577865213,-21 pixels,N/A,N/A,N/A
7.38 s,-4.83 m,8.29 m,0.46 m,0.04 m/s,-0.09 m/s,-0.00 m/s,0.0027434829613207936,0.0041279180919870095,-1.577839308,-18 pixels,N/A,N/A,N/A
7.53 s,-4.82 m,8.28 m,0.46 m,0.03 m/s,-0.09 m/s,-0.00 m/s,0.002754026455047472,0.004734364434483013,-1.577836251,-16 pixels,N/A,N/A,N/A
7.65 s,-4.82 m,8.28 m,0.46 m,0.03 m/s,-0.09 m/s,-0.00 m/s,0.00286264373299137,0.004383844419637844,-1.57781665,-15 pixels,N/A,N/A,N/A
7.77 s,-4.82 m,8.27 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.0028908612831081365,0.005816980249563559,-1.577898354,-14 pixels,N/A,N/A,N/A
7.89 s,-4.81 m,8.26 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.0029536455676511747,0.004923055962035324,-1.577933484,-13 pixels,N/A,N/A,N/A
8.02 s,-4.81 m,8.25 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.0030609845484769176,0.0014148598063307447,-1.577905818,-14 pixels,N/A,N/A,N/A
8.16 s,-4.81 m,8.24 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.003139797451775371,0.001364680345962352,-1.577945571,-13 pixels,N/A,N/A,N/A
8.28 s,-4.81 m,8.23 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.003180842353671293,0.0024378209213725415,-1.578028901,-12 pixels,N/A,N/A,N/A
8.42 s,-4.81 m,8.22 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.0032112027772421264,-0.000315082,-1.578114039,-12 pixels,N/A,N/A,N/A
