Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
0.0 s,-0.17 m,-4.91 m,0.46 m,0.00 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-90 pixels
0.12 s,-0.17 m,-4.91 m,0.46 m,0.00 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-90 pixels
0.18 s,-0.18 m,-4.91 m,0.46 m,0.01 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-89 pixels
0.31 s,-0.18 m,-4.91 m,0.46 m,0.03 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,-88 pixels
0.42 s,-0.17 m,-4.91 m,0.46 m,0.05 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,-89 pixels
0.53 s,-0.16 m,-4.91 m,0.46 m,0.07 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,-89 pixels
0.64 s,-0.16 m,-4.91 m,0.46 m,0.09 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,-89 pixels
0.74 s,-0.15 m,-4.91 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-89 pixels
0.87 s,-0.13 m,-4.91 m,0.46 m,0.11 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-89 pixels
0.98 s,-0.12 m,-4.91 m,0.46 m,0.12 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-89 pixels
1.09 s,-0.11 m,-4.91 m,0.46 m,0.12 m/s,0.00 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-89 pixels
1.21 s,-0.10 m,-4.91 m,0.46 m,0.13 m/s,0.00 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-89 pixels
1.31 s,-0.08 m,-4.91 m,0.46 m,0.13 m/s,0.00 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-89 pixels
1.43 s,-0.07 m,-4.91 m,0.46 m,0.13 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
1.53 s,-0.06 m,-4.91 m,0.46 m,0.13 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
1.64 s,-0.04 m,-4.91 m,0.46 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
1.75 s,-0.03 m,-4.91 m,0.46 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
1.86 s,-0.02 m,-4.91 m,0.46 m,0.14 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
1.97 s,-0.00 m,-4.91 m,0.46 m,0.13 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
2.08 s,0.01 m,-4.91 m,0.46 m,0.13 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
2.18 s,0.02 m,-4.91 m,0.46 m,0.13 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
2.29 s,0.04 m,-4.91 m,0.46 m,0.13 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
2.47 s,0.06 m,-4.91 m,0.46 m,0.13 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-89 pixels
2.54 s,0.07 m,-4.91 m,0.46 m,0.12 m/s,-0.00 m/s,-0.00 m/s,-0.00 rad,0.00 rad,-0.00 rad,-89 pixels
2.62 s,0.08 m,-4.91 m,0.46 m,0.12 m/s,-0.00 m/s,-0.00 m/s,-0.00 rad,0.00 rad,-0.00 rad,-89 pixels
