Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
1.41 s,-0.03 m,-4.86 m,0.45 m,0.13 m/s,0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-61 pixels
1.54 s,-0.02 m,-4.86 m,0.45 m,0.13 m/s,0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-61 pixels
1.67 s,-0.01 m,-4.86 m,0.45 m,0.13 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-61 pixels
1.8 s,0.01 m,-4.85 m,0.45 m,0.14 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-61 pixels
1.92 s,0.02 m,-4.85 m,0.45 m,0.14 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.05 s,0.04 m,-4.85 m,0.45 m,0.14 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.18 s,0.05 m,-4.85 m,0.45 m,0.14 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.3 s,0.06 m,-4.85 m,0.45 m,0.14 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.44 s,0.08 m,-4.85 m,0.45 m,0.13 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.56 s,0.09 m,-4.85 m,0.45 m,0.13 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.7 s,0.10 m,-4.85 m,0.45 m,0.13 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.83 s,0.12 m,-4.85 m,0.45 m,0.13 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
2.96 s,0.13 m,-4.85 m,0.45 m,0.13 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-60 pixels
3.09 s,0.14 m,-4.85 m,0.45 m,0.13 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-59 pixels
3.23 s,0.16 m,-4.85 m,0.45 m,0.13 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-59 pixels
3.35 s,0.17 m,-4.85 m,0.45 m,0.12 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-58 pixels
3.49 s,0.18 m,-4.85 m,0.45 m,0.12 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-57 pixels
3.61 s,0.19 m,-4.85 m,0.45 m,0.12 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-56 pixels
3.75 s,0.20 m,-4.85 m,0.45 m,0.12 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-56 pixels
3.87 s,0.21 m,-4.85 m,0.45 m,0.12 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-55 pixels
4.0 s,0.23 m,-4.86 m,0.45 m,0.11 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-54 pixels
4.13 s,0.24 m,-4.86 m,0.45 m,0.11 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-53 pixels
4.26 s,0.25 m,-4.86 m,0.45 m,0.11 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-53 pixels
4.39 s,0.26 m,-4.86 m,0.45 m,0.11 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-52 pixels
4.52 s,0.27 m,-4.86 m,0.45 m,0.11 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-52 pixels
4.65 s,0.28 m,-4.86 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-51 pixels
4.78 s,0.29 m,-4.86 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-51 pixels
4.9 s,0.30 m,-4.86 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-50 pixels
5.04 s,0.31 m,-4.86 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-50 pixels
5.15 s,0.32 m,-4.87 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-49 pixels
5.28 s,0.33 m,-4.87 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-49 pixels
5.4 s,0.34 m,-4.87 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-49 pixels
5.53 s,0.35 m,-4.87 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-48 pixels
5.66 s,0.36 m,-4.87 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-47 pixels
5.79 s,0.37 m,-4.87 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-47 pixels
5.91 s,0.38 m,-4.87 m,0.45 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-47 pixels
6.05 s,0.39 m,-4.87 m,0.45 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-46 pixels
6.17 s,0.40 m,-4.87 m,0.45 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-46 pixels
6.32 s,0.41 m,-4.87 m,0.45 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-45 pixels
6.45 s,0.42 m,-4.87 m,0.45 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-45 pixels
6.58 s,0.43 m,-4.87 m,0.45 m,0.09 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-44 pixels
6.71 s,0.44 m,-4.87 m,0.45 m,0.09 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-44 pixels
6.84 s,0.45 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-43 pixels
6.96 s,0.46 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-43 pixels
7.1 s,0.47 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-42 pixels
7.23 s,0.48 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-42 pixels
7.38 s,0.49 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-42 pixels
7.49 s,0.49 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-41 pixels
7.62 s,0.50 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-41 pixels
7.76 s,0.51 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-40 pixels
7.88 s,0.52 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-40 pixels
8.01 s,0.53 m,-4.87 m,0.45 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-39 pixels
8.14 s,0.54 m,-4.87 m,0.46 m,0.09 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-38 pixels
8.26 s,0.55 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-38 pixels
8.38 s,0.56 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-37 pixels
8.5 s,0.57 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-37 pixels
8.64 s,0.58 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-36 pixels
8.75 s,0.59 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-36 pixels
8.89 s,0.60 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-35 pixels
9.03 s,0.61 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-35 pixels
9.15 s,0.62 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-34 pixels
9.27 s,0.63 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-34 pixels
9.39 s,0.64 m,-4.87 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-35 pixels
9.52 s,0.65 m,-4.87 m,0.46 m,0.10 m/s,0.01 m/s,0.00 m/s,0.00 rad,-0.01 rad,-0.00 rad,-36 pixels
9.65 s,0.66 m,-4.87 m,0.46 m,0.10 m/s,0.02 m/s,0.00 m/s,0.00 rad,-0.01 rad,-0.00 rad,-36 pixels
9.76 s,0.67 m,-4.86 m,0.46 m,0.10 m/s,0.03 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-34 pixels
9.89 s,0.68 m,-4.86 m,0.46 m,0.10 m/s,0.03 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-32 pixels
10.02 s,0.69 m,-4.86 m,0.46 m,0.10 m/s,0.04 m/s,0.00 m/s,0.00 rad,-0.01 rad,-0.00 rad,-33 pixels
10.15 s,0.70 m,-4.85 m,0.46 m,0.10 m/s,0.05 m/s,0.00 m/s,0.00 rad,-0.01 rad,-0.00 rad,-33 pixels
10.27 s,0.71 m,-4.85 m,0.46 m,0.10 m/s,0.06 m/s,0.00 m/s,0.00 rad,-0.01 rad,-0.00 rad,-30 pixels
10.39 s,0.72 m,-4.84 m,0.46 m,0.10 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-27 pixels
10.51 s,0.73 m,-4.83 m,0.46 m,0.10 m/s,0.06 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-26 pixels
10.64 s,0.74 m,-4.83 m,0.46 m,0.10 m/s,0.07 m/s,0.00 m/s,0.00 rad,-0.01 rad,-0.00 rad,-25 pixels
10.76 s,0.74 m,-4.82 m,0.46 m,0.10 m/s,0.08 m/s,0.00 m/s,0.00 rad,-0.01 rad,-0.00 rad,-23 pixels
10.88 s,0.75 m,-4.81 m,0.46 m,0.10 m/s,0.08 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-18 pixels
11.01 s,0.76 m,-4.80 m,0.46 m,0.10 m/s,0.07 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-15 pixels
11.13 s,0.77 m,-4.80 m,0.46 m,0.10 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-14 pixels
11.26 s,0.78 m,-4.79 m,0.46 m,0.10 m/s,0.06 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-12 pixels
11.39 s,0.79 m,-4.79 m,0.46 m,0.10 m/s,0.05 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-10 pixels
11.51 s,0.80 m,-4.78 m,0.46 m,0.10 m/s,0.04 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-8 pixels
11.64 s,0.81 m,-4.78 m,0.46 m,0.10 m/s,0.04 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-8 pixels
11.76 s,0.82 m,-4.77 m,0.46 m,0.10 m/s,0.03 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
11.89 s,0.83 m,-4.77 m,0.46 m,0.10 m/s,0.03 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-6 pixels
12.03 s,0.84 m,-4.77 m,0.46 m,0.10 m/s,0.02 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-5 pixels
12.16 s,0.85 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-4 pixels
12.27 s,0.86 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-4 pixels
12.41 s,0.87 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-5 pixels
12.53 s,0.88 m,-4.77 m,0.46 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-5 pixels
12.65 s,0.89 m,-4.77 m,0.46 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,0.01 rad,-0.00 rad,-6 pixels
12.77 s,0.90 m,-4.77 m,0.46 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
12.89 s,0.91 m,-4.77 m,0.46 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
13.02 s,0.92 m,-4.77 m,0.46 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-8 pixels
13.15 s,0.93 m,-4.78 m,0.46 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-9 pixels
13.28 s,0.94 m,-4.78 m,0.46 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-9 pixels
13.41 s,0.95 m,-4.78 m,0.46 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-10 pixels
13.52 s,0.96 m,-4.78 m,0.46 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-11 pixels
13.66 s,0.97 m,-4.79 m,0.46 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-12 pixels
13.78 s,0.98 m,-4.79 m,0.46 m,0.10 m/s,-0.01 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-11 pixels
13.92 s,1.00 m,-4.79 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-11 pixels
14.03 s,1.01 m,-4.79 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-12 pixels
14.15 s,1.01 m,-4.79 m,0.46 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-12 pixels
14.28 s,1.02 m,-4.79 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-12 pixels
14.41 s,1.03 m,-4.79 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-11 pixels
14.53 s,1.04 m,-4.79 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-12 pixels
14.65 s,1.05 m,-4.78 m,0.46 m,0.10 m/s,0.02 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-11 pixels
14.77 s,1.06 m,-4.78 m,0.46 m,0.10 m/s,0.02 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-10 pixels
14.9 s,1.07 m,-4.78 m,0.46 m,0.10 m/s,0.02 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-9 pixels
15.01 s,1.08 m,-4.78 m,0.46 m,0.09 m/s,0.02 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-8 pixels
15.13 s,1.09 m,-4.78 m,0.46 m,0.09 m/s,0.02 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-9 pixels
15.26 s,1.10 m,-4.77 m,0.46 m,0.09 m/s,0.02 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-8 pixels
15.39 s,1.11 m,-4.77 m,0.46 m,0.09 m/s,0.02 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
15.52 s,1.12 m,-4.77 m,0.46 m,0.09 m/s,0.02 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
15.65 s,1.13 m,-4.77 m,0.46 m,0.09 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
15.78 s,1.14 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
15.91 s,1.15 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
16.03 s,1.16 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
16.16 s,1.17 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
16.29 s,1.18 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
16.41 s,1.19 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
16.53 s,1.20 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
16.68 s,1.21 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-5 pixels
16.8 s,1.22 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
16.92 s,1.23 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
17.04 s,1.24 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
17.16 s,1.25 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
17.28 s,1.26 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
17.4 s,1.27 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
17.52 s,1.28 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
17.65 s,1.29 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
17.77 s,1.30 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
17.9 s,1.31 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.02 s,1.32 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.15 s,1.33 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.26 s,1.34 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.39 s,1.35 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.5 s,1.36 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.62 s,1.37 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.74 s,1.38 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
18.87 s,1.39 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
19.0 s,1.40 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-8 pixels
19.12 s,1.41 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-8 pixels
19.25 s,1.42 m,-4.78 m,0.46 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-9 pixels
19.37 s,1.43 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-9 pixels
19.5 s,1.44 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-8 pixels
19.62 s,1.45 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-7 pixels
19.75 s,1.46 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-7 pixels
19.87 s,1.47 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
19.99 s,1.48 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.12 s,1.49 m,-4.77 m,0.46 m,0.10 m/s,0.01 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.27 s,1.50 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.39 s,1.51 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.52 s,1.52 m,-4.77 m,0.46 m,0.10 m/s,0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.64 s,1.53 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.76 s,1.54 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.87 s,1.55 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
20.99 s,1.56 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
21.11 s,1.57 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
21.23 s,1.58 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
21.35 s,1.59 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
21.46 s,1.59 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
21.59 s,1.61 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
21.71 s,1.61 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
21.83 s,1.62 m,-4.77 m,0.46 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,-6 pixels
