Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
0.0 s,-0.11 m,-4.87 m,0.45 m,-0.01 m/s,0.00 m/s,0.00 m/s,0.00 rad,-0.00 rad,-0.00 rad,-62 pixels
0.32 s,-0.11 m,-4.87 m,0.45 m,0.02 m/s,0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,-62 pixels
0.34 s,-0.11 m,-4.87 m,0.45 m,0.02 m/s,0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,-62 pixels
0.36 s,-0.11 m,-4.87 m,0.45 m,0.02 m/s,0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,-62 pixels
0.51 s,-0.11 m,-4.87 m,0.45 m,0.05 m/s,0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,-62 pixels
0.64 s,-0.10 m,-4.86 m,0.45 m,0.07 m/s,0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,-62 pixels
0.76 s,-0.09 m,-4.86 m,0.45 m,0.09 m/s,0.01 m/s,0.00 m/s,0.02 rad,-0.00 rad,-0.00 rad,-62 pixels
0.9 s,-0.08 m,-4.86 m,0.45 m,0.10 m/s,0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-62 pixels
1.03 s,-0.07 m,-4.86 m,0.45 m,0.11 m/s,0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-62 pixels
1.16 s,-0.06 m,-4.86 m,0.45 m,0.12 m/s,0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-61 pixels
1.28 s,-0.04 m,-4.86 m,0.45 m,0.12 m/s,0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,-61 pixels
