Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
0.0 s,-0.18 m,-4.95 m,0.44 m,0.00 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
0.07 s,-0.18 m,-4.95 m,0.44 m,0.01 m/s,0.01 m/s,-0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
0.18 s,-0.19 m,-4.94 m,0.44 m,0.02 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.27 s,-0.18 m,-4.94 m,0.44 m,0.03 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.39 s,-0.18 m,-4.94 m,0.44 m,0.06 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.5 s,-0.17 m,-4.94 m,0.44 m,0.08 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.61 s,-0.16 m,-4.94 m,0.44 m,0.09 m/s,0.01 m/s,-0.00 m/s,0.02 rad,0.00 rad,-0.00 rad,0 pixels
0.72 s,-0.15 m,-4.94 m,0.44 m,0.11 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
0.83 s,-0.14 m,-4.94 m,0.44 m,0.12 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
0.93 s,-0.13 m,-4.94 m,0.44 m,0.13 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.04 s,-0.11 m,-4.94 m,0.44 m,0.13 m/s,0.01 m/s,-0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
1.14 s,-0.10 m,-4.94 m,0.44 m,0.13 m/s,0.01 m/s,0.00 m/s,0.01 rad,0.00 rad,-0.00 rad,0 pixels
