Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
1.08 s,-4.96 m,8.62 m,0.46 m,-0.06 m/s,-0.16 m/s,-0.00 m/s,0.003655827895809989,-0.001157311,-1.581970903,-81 pixels,N/A,N/A,N/A
1.19 s,-4.96 m,8.60 m,0.46 m,-0.06 m/s,-0.16 m/s,-0.00 m/s,0.0015993590963418308,-0.001891854,-1.580710841,-82 pixels,N/A,N/A,N/A
1.29 s,-4.97 m,8.59 m,0.46 m,-0.05 m/s,-0.16 m/s,-0.00 m/s,0.00025787400635827003,-0.00237759,-1.580123202,-82 pixels,N/A,N/A,N/A
1.41 s,-4.97 m,8.57 m,0.46 m,-0.04 m/s,-0.16 m/s,-0.00 m/s,-0.000816811,-0.002564122,-1.579572788,-83 pixels,N/A,N/A,N/A
1.52 s,-4.98 m,8.56 m,0.46 m,-0.04 m/s,-0.15 m/s,-0.00 m/s,-0.001777508,-0.002758536,-1.579406356,-83 pixels,N/A,N/A,N/A
1.63 s,-4.98 m,8.54 m,0.46 m,-0.03 m/s,-0.15 m/s,-0.00 m/s,-0.002587796,-0.00274079,-1.579144395,-84 pixels,N/A,N/A,N/A
1.73 s,-4.98 m,8.53 m,0.46 m,-0.03 m/s,-0.14 m/s,-0.00 m/s,-0.003397768,-0.002726494,-1.579039818,-84 pixels,N/A,N/A,N/A
1.83 s,-4.99 m,8.51 m,0.46 m,-0.02 m/s,-0.14 m/s,-0.00 m/s,-0.003942538,-0.002577823,-1.579087641,-84 pixels,N/A,N/A,N/A
1.94 s,-4.99 m,8.50 m,0.46 m,-0.02 m/s,-0.13 m/s,-0.00 m/s,-0.004426893,-0.002372716,-1.579089388,-84 pixels,N/A,N/A,N/A
2.05 s,-4.99 m,8.49 m,0.46 m,-0.02 m/s,-0.12 m/s,-0.00 m/s,-0.004823883,-0.002116118,-1.579103407,-84 pixels,N/A,N/A,N/A
2.17 s,-4.99 m,8.48 m,0.46 m,-0.01 m/s,-0.12 m/s,-0.00 m/s,-0.005080385,-0.001858182,-1.579119807,-84 pixels,N/A,N/A,N/A
2.29 s,-4.99 m,8.46 m,0.46 m,-0.01 m/s,-0.11 m/s,-0.00 m/s,-0.005186207,-0.001577398,-1.579123568,-84 pixels,N/A,N/A,N/A
2.4 s,-4.99 m,8.45 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,-0.005034703,-0.001330375,-1.57912276,-83 pixels,N/A,N/A,N/A
2.51 s,-4.99 m,8.44 m,0.46 m,-0.00 m/s,-0.09 m/s,-0.00 m/s,-0.0048999,-0.001039693,-1.579159086,-83 pixels,N/A,N/A,N/A
2.63 s,-4.99 m,8.43 m,0.46 m,-0.00 m/s,-0.09 m/s,-0.00 m/s,-0.004609236,-0.000837375,-1.57915277,-83 pixels,N/A,N/A,N/A
2.73 s,-4.99 m,8.43 m,0.46 m,0.00 m/s,-0.08 m/s,-0.00 m/s,-0.004256028,-0.000695166,-1.579160827,-82 pixels,N/A,N/A,N/A
2.84 s,-4.99 m,8.42 m,0.46 m,0.00 m/s,-0.08 m/s,-0.00 m/s,-0.003964615,-0.000754341,-1.579146089,-82 pixels,N/A,N/A,N/A
2.95 s,-4.99 m,8.41 m,0.46 m,0.01 m/s,-0.07 m/s,-0.00 m/s,-0.003584804,-0.00061393,-1.579131173,-81 pixels,N/A,N/A,N/A
3.07 s,-4.99 m,8.40 m,0.46 m,0.01 m/s,-0.07 m/s,-0.00 m/s,-0.003281759,-0.000728415,-1.579140943,-81 pixels,N/A,N/A,N/A
3.19 s,-4.99 m,8.40 m,0.46 m,0.01 m/s,-0.06 m/s,-0.00 m/s,-0.002966813,-0.003340044,-1.57914194,-81 pixels,N/A,N/A,N/A
3.31 s,-4.99 m,8.39 m,0.46 m,0.01 m/s,-0.06 m/s,-0.00 m/s,-0.002635279,-0.004338904,-1.579143738,-82 pixels,N/A,N/A,N/A
3.43 s,-4.99 m,8.38 m,0.46 m,0.02 m/s,-0.05 m/s,-0.00 m/s,-0.002120158,-0.001955171,-1.579137877,-81 pixels,N/A,N/A,N/A
3.55 s,-4.99 m,8.38 m,0.46 m,0.02 m/s,-0.05 m/s,-0.00 m/s,-0.001614358,-0.002703484,-1.579166336,-79 pixels,N/A,N/A,N/A
3.67 s,-4.98 m,8.37 m,0.46 m,0.03 m/s,-0.05 m/s,-0.00 m/s,-0.001180558,-0.013171246,-1.579120396,-81 pixels,N/A,N/A,N/A
3.79 s,-4.98 m,8.37 m,0.46 m,0.05 m/s,-0.05 m/s,-0.00 m/s,-0.000891327,-0.023453689,-1.579058186,-83 pixels,N/A,N/A,N/A
3.91 s,-4.98 m,8.37 m,0.46 m,0.07 m/s,-0.04 m/s,-0.00 m/s,-0.000540657,-0.024888129,-1.579139976,-83 pixels,N/A,N/A,N/A
4.03 s,-4.97 m,8.36 m,0.46 m,0.09 m/s,-0.04 m/s,-0.00 m/s,-0.000181938,-0.012882043,-1.579236963,-79 pixels,N/A,N/A,N/A
4.15 s,-4.95 m,8.36 m,0.46 m,0.09 m/s,-0.04 m/s,-0.00 m/s,0.0004066421562321756,0.0007084311108790183,-1.579401883,-71 pixels,N/A,N/A,N/A
4.27 s,-4.94 m,8.35 m,0.46 m,0.10 m/s,-0.04 m/s,-0.00 m/s,0.0011159972815918018,-0.005232164,-1.579313997,-66 pixels,N/A,N/A,N/A
4.39 s,-4.93 m,8.35 m,0.46 m,0.11 m/s,-0.04 m/s,-0.00 m/s,0.0018123292898975206,-0.01489126,-1.579206861,-64 pixels,N/A,N/A,N/A
4.51 s,-4.92 m,8.34 m,0.46 m,0.12 m/s,-0.04 m/s,-0.00 m/s,0.0023727123814180706,-0.016960798,-1.579139628,-63 pixels,N/A,N/A,N/A
4.63 s,-4.91 m,8.34 m,0.46 m,0.13 m/s,-0.04 m/s,-0.00 m/s,0.002865879955095196,-0.00700644,-1.5792653,-59 pixels,N/A,N/A,N/A
4.76 s,-4.89 m,8.34 m,0.46 m,0.13 m/s,-0.04 m/s,-0.00 m/s,0.003291056526369124,0.007772230899098238,-1.579399761,-52 pixels,N/A,N/A,N/A
4.88 s,-4.88 m,8.33 m,0.46 m,0.12 m/s,-0.04 m/s,-0.00 m/s,0.0037296460014161086,0.0021309434430732154,-1.579433144,-43 pixels,N/A,N/A,N/A
4.99 s,-4.86 m,8.33 m,0.46 m,0.12 m/s,-0.04 m/s,-0.00 m/s,0.004001162745541343,-0.003854299,-1.579456499,-38 pixels,N/A,N/A,N/A
5.11 s,-4.85 m,8.32 m,0.46 m,0.12 m/s,-0.04 m/s,-0.00 m/s,0.004149074068708241,-0.000682432,-1.57947135,-36 pixels,N/A,N/A,N/A
5.23 s,-4.84 m,8.32 m,0.46 m,0.11 m/s,-0.04 m/s,-0.00 m/s,0.004296425628034598,0.009728904483656079,-1.579565439,-31 pixels,N/A,N/A,N/A
5.35 s,-4.82 m,8.31 m,0.46 m,0.10 m/s,-0.05 m/s,-0.00 m/s,0.004443192881488099,0.014809204078728776,-1.579657816,-25 pixels,N/A,N/A,N/A
5.47 s,-4.82 m,8.31 m,0.46 m,0.08 m/s,-0.05 m/s,-0.00 m/s,0.004504447014528215,0.007985997106321136,-1.579653214,-18 pixels,N/A,N/A,N/A
5.59 s,-4.81 m,8.30 m,0.46 m,0.08 m/s,-0.05 m/s,-0.00 m/s,0.004526009054647567,0.007396837041712999,-1.579675191,-14 pixels,N/A,N/A,N/A
5.71 s,-4.80 m,8.30 m,0.46 m,0.06 m/s,-0.05 m/s,-0.00 m/s,0.00454004338276404,0.010644368042880046,-1.579733908,-13 pixels,N/A,N/A,N/A
5.84 s,-4.79 m,8.29 m,0.46 m,0.05 m/s,-0.06 m/s,-0.00 m/s,0.0045824845358047464,0.013693993284913629,-1.579791847,-10 pixels,N/A,N/A,N/A
5.96 s,-4.79 m,8.28 m,0.46 m,0.04 m/s,-0.06 m/s,-0.00 m/s,0.004371441658654634,0.01427439383800356,-1.579853845,-6 pixels,N/A,N/A,N/A
6.08 s,-4.78 m,8.28 m,0.46 m,0.02 m/s,-0.06 m/s,-0.00 m/s,0.0038539438656103654,0.013079953259210022,-1.579883645,-3 pixels,N/A,N/A,N/A
6.21 s,-4.78 m,8.27 m,0.46 m,0.01 m/s,-0.06 m/s,-0.00 m/s,0.00344796585074322,0.01118574734846459,-1.579831947,-1 pixels,N/A,N/A,N/A
6.33 s,-4.78 m,8.26 m,0.46 m,-0.00 m/s,-0.07 m/s,-0.00 m/s,0.0030585460310346303,0.00947295364598421,-1.579934465,0 pixels,N/A,N/A,N/A
6.45 s,-4.78 m,8.26 m,0.46 m,-0.01 m/s,-0.07 m/s,-0.00 m/s,0.0028468252902114537,0.007840250134578007,-1.579973786,0 pixels,N/A,N/A,N/A
6.57 s,-4.79 m,8.25 m,0.46 m,-0.02 m/s,-0.07 m/s,-0.00 m/s,0.0026940503736500388,0.006526576211842403,-1.580118147,0 pixels,N/A,N/A,N/A
6.7 s,-4.79 m,8.24 m,0.46 m,-0.02 m/s,-0.07 m/s,-0.00 m/s,0.0026672635847294034,0.005248737821712227,-1.580131574,-1 pixels,N/A,N/A,N/A
6.82 s,-4.79 m,8.23 m,0.46 m,-0.03 m/s,-0.07 m/s,-0.00 m/s,0.0025073262762544866,0.004189039120128569,-1.580333117,-1 pixels,N/A,N/A,N/A
6.93 s,-4.79 m,8.23 m,0.46 m,-0.03 m/s,-0.07 m/s,-0.00 m/s,0.0022948535988928324,0.003482132584616566,-1.580266154,-2 pixels,N/A,N/A,N/A
7.05 s,-4.80 m,8.22 m,0.46 m,-0.03 m/s,-0.08 m/s,-0.00 m/s,0.0020689482885742853,0.002765006285342039,-1.580370128,-4 pixels,N/A,N/A,N/A
7.17 s,-4.80 m,8.21 m,0.46 m,-0.03 m/s,-0.08 m/s,-0.00 m/s,0.001846672469360289,0.0022997315314216365,-1.580392499,-5 pixels,N/A,N/A,N/A
7.29 s,-4.80 m,8.20 m,0.46 m,-0.03 m/s,-0.08 m/s,0.00 m/s,0.0016968675349226167,0.0016927291565457668,-1.580531183,-6 pixels,N/A,N/A,N/A
7.41 s,-4.81 m,8.19 m,0.46 m,-0.03 m/s,-0.08 m/s,0.00 m/s,0.0015292307743802358,0.0011464795830286826,-1.58064388,-7 pixels,N/A,N/A,N/A
7.53 s,-4.81 m,8.18 m,0.46 m,-0.03 m/s,-0.08 m/s,0.00 m/s,0.0015228505461432154,0.0005642814571403421,-1.580559392,-9 pixels,N/A,N/A,N/A
7.65 s,-4.82 m,8.17 m,0.46 m,-0.03 m/s,-0.08 m/s,0.00 m/s,0.0013035395917595026,0.00016093670312845984,-1.580747663,-10 pixels,N/A,N/A,N/A
7.77 s,-4.82 m,8.17 m,0.46 m,-0.03 m/s,-0.08 m/s,0.00 m/s,0.0012389732414793033,-0.000317907,-1.580767019,-11 pixels,N/A,N/A,N/A
7.9 s,-4.82 m,8.16 m,0.46 m,-0.02 m/s,-0.08 m/s,0.00 m/s,0.001180097379666271,-0.002384078,-1.580685467,-13 pixels,N/A,N/A,N/A
8.02 s,-4.82 m,8.15 m,0.46 m,-0.02 m/s,-0.08 m/s,0.00 m/s,0.0011796963146316335,-0.004176337,-1.580667171,-14 pixels,N/A,N/A,N/A
8.14 s,-4.83 m,8.14 m,0.46 m,-0.01 m/s,-0.08 m/s,0.00 m/s,0.0012110696112154224,-0.003410433,-1.580698378,-15 pixels,N/A,N/A,N/A
8.26 s,-4.83 m,8.13 m,0.46 m,-0.01 m/s,-0.08 m/s,0.00 m/s,0.0011948368082109956,-0.001371812,-1.580619478,-16 pixels,N/A,N/A,N/A
8.38 s,-4.83 m,8.12 m,0.46 m,-0.01 m/s,-0.08 m/s,0.00 m/s,0.0012830964684033405,-0.003041062,-1.580675973,-18 pixels,N/A,N/A,N/A
8.5 s,-4.83 m,8.11 m,0.46 m,0.00 m/s,-0.08 m/s,0.00 m/s,0.0013452260836404996,-0.007833005,-1.580680653,-19 pixels,N/A,N/A,N/A
8.62 s,-4.83 m,8.10 m,0.46 m,0.01 m/s,-0.08 m/s,0.00 m/s,0.001593820755115209,-0.007152423,-1.58080505,-19 pixels,N/A,N/A,N/A
8.74 s,-4.83 m,8.10 m,0.46 m,0.02 m/s,-0.08 m/s,0.00 m/s,0.0017667126280546013,-0.003590094,-1.58088464,-19 pixels,N/A,N/A,N/A
8.86 s,-4.82 m,8.09 m,0.46 m,0.02 m/s,-0.08 m/s,0.00 m/s,0.001962884979769524,0.0006638645840658533,-1.580925181,-20 pixels,N/A,N/A,N/A
8.99 s,-4.82 m,8.08 m,0.46 m,0.02 m/s,-0.08 m/s,0.00 m/s,0.002143393077629109,0.00012182513227169514,-1.581022466,-21 pixels,N/A,N/A,N/A
9.11 s,-4.82 m,8.07 m,0.46 m,0.02 m/s,-0.08 m/s,0.00 m/s,0.0022808529251066283,-0.004695984,-1.581013047,-22 pixels,N/A,N/A,N/A
9.22 s,-4.82 m,8.06 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.002415747934232025,-0.006142663,-1.581046424,-21 pixels,N/A,N/A,N/A
9.34 s,-4.81 m,8.05 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.002378543845642073,-0.002619406,-1.581135994,-19 pixels,N/A,N/A,N/A
9.46 s,-4.81 m,8.04 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.0024512759890227835,0.0023130195882149498,-1.581168729,-18 pixels,N/A,N/A,N/A
9.58 s,-4.81 m,8.03 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.002480072370861652,0.001555654786533022,-1.5811918,-17 pixels,N/A,N/A,N/A
9.7 s,-4.80 m,8.03 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.0026856388969771017,-0.002746547,-1.581286307,-17 pixels,N/A,N/A,N/A
9.82 s,-4.80 m,8.02 m,0.46 m,0.04 m/s,-0.08 m/s,0.00 m/s,0.0027366070517827463,-0.002066072,-1.581366358,-17 pixels,N/A,N/A,N/A
9.94 s,-4.80 m,8.01 m,0.46 m,0.04 m/s,-0.08 m/s,0.00 m/s,0.002792070426407995,0.0009133435192205015,-1.581356725,-15 pixels,N/A,N/A,N/A
10.06 s,-4.79 m,8.00 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.0027529548340608652,0.004491881097766035,-1.581484037,-13 pixels,N/A,N/A,N/A
10.18 s,-4.79 m,7.99 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.0027799223777568095,0.0039091276005548846,-1.581527201,-11 pixels,N/A,N/A,N/A
10.3 s,-4.78 m,7.98 m,0.46 m,0.03 m/s,-0.08 m/s,0.00 m/s,0.0028709090924792496,0.0010928655306278047,-1.581563529,-11 pixels,N/A,N/A,N/A
10.43 s,-4.78 m,7.97 m,0.46 m,0.03 m/s,-0.09 m/s,0.00 m/s,0.0029677758524992276,0.001767152159862973,-1.581695879,-11 pixels,N/A,N/A,N/A
10.55 s,-4.78 m,7.96 m,0.46 m,0.02 m/s,-0.09 m/s,0.00 m/s,0.0030764901821700107,0.003285797878865422,-1.581821537,-10 pixels,N/A,N/A,N/A
10.67 s,-4.78 m,7.95 m,0.46 m,0.02 m/s,-0.09 m/s,0.00 m/s,0.003058587242622249,0.005192508776211386,-1.581729446,-8 pixels,N/A,N/A,N/A
10.79 s,-4.77 m,7.94 m,0.46 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.003041845227903501,0.005558286517572287,-1.581940154,-6 pixels,N/A,N/A,N/A
10.91 s,-4.77 m,7.93 m,0.46 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.002934970210610713,0.005388311287405455,-1.582081071,-4 pixels,N/A,N/A,N/A
11.04 s,-4.77 m,7.92 m,0.46 m,0.00 m/s,-0.09 m/s,0.00 m/s,0.002767839888300062,0.005040406337851666,-1.582248303,-3 pixels,N/A,N/A,N/A
11.15 s,-4.77 m,7.91 m,0.46 m,-0.00 m/s,-0.09 m/s,0.00 m/s,0.0026566747353364423,0.004468283097153617,-1.582257983,-3 pixels,N/A,N/A,N/A
11.27 s,-4.77 m,7.90 m,0.46 m,-0.00 m/s,-0.09 m/s,0.00 m/s,0.002431254490963195,0.004125639482318034,-1.582366228,-2 pixels,N/A,N/A,N/A
11.39 s,-4.77 m,7.89 m,0.46 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.0023465075235517886,0.0037449527744846263,-1.582507972,0 pixels,N/A,N/A,N/A
11.51 s,-4.77 m,7.88 m,0.47 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.0020724064389759005,0.0034382117597156294,-1.582525273,1 pixels,N/A,N/A,N/A
11.63 s,-4.77 m,7.87 m,0.47 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.0020322468042283212,0.0030377544721832753,-1.582662506,2 pixels,N/A,N/A,N/A
11.75 s,-4.78 m,7.86 m,0.47 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.0019215433742381586,0.0027327158423128485,-1.582689981,2 pixels,N/A,N/A,N/A
11.88 s,-4.78 m,7.85 m,0.47 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.0019447145323497593,0.002400506632878158,-1.582662304,3 pixels,N/A,N/A,N/A
12.0 s,-4.78 m,7.84 m,0.47 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.0018737600222164242,0.002185183035779366,-1.582753788,3 pixels,N/A,N/A,N/A
12.12 s,-4.78 m,7.83 m,0.47 m,-0.01 m/s,-0.09 m/s,0.00 m/s,0.001844211588797445,0.0019852675268488417,-1.582767603,3 pixels,N/A,N/A,N/A
12.24 s,-4.78 m,7.82 m,0.47 m,-0.02 m/s,-0.09 m/s,0.00 m/s,0.0019198119419061924,0.0017683196076689381,-1.582876776,3 pixels,N/A,N/A,N/A
12.36 s,-4.78 m,7.81 m,0.47 m,-0.02 m/s,-0.09 m/s,0.00 m/s,0.0019335053973413507,0.0015144775981285048,-1.582820555,2 pixels,N/A,N/A,N/A
12.47 s,-4.79 m,7.80 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0019258501363707383,0.001273136466490454,-1.582929139,2 pixels,N/A,N/A,N/A
12.59 s,-4.79 m,7.79 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0018510179753153746,0.0010333230570493562,-1.582922608,2 pixels,N/A,N/A,N/A
12.71 s,-4.79 m,7.78 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0018931148698650361,0.0008436261299401823,-1.582942971,1 pixels,N/A,N/A,N/A
12.83 s,-4.79 m,7.77 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0018678758121054534,0.0007586435842982671,-1.5829873,1 pixels,N/A,N/A,N/A
12.95 s,-4.79 m,7.76 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0018872556360262486,0.000708674311102202,-1.583111883,0 pixels,N/A,N/A,N/A
13.07 s,-4.79 m,7.75 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0017882210435930992,0.0007069060468019625,-1.5831711,0 pixels,N/A,N/A,N/A
13.2 s,-4.79 m,7.74 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.001870365192431799,0.0004946508261462733,-1.583288418,-1 pixels,N/A,N/A,N/A
13.32 s,-4.80 m,7.72 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0018618798901036116,0.00041420350486107165,-1.583406427,-2 pixels,N/A,N/A,N/A
13.44 s,-4.80 m,7.71 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0020216627501424083,0.0002261884820710232,-1.583372868,-2 pixels,N/A,N/A,N/A
13.56 s,-4.80 m,7.71 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.002085394916639871,0.00010748609587181723,-1.583540632,-3 pixels,N/A,N/A,N/A
13.69 s,-4.80 m,7.69 m,0.47 m,-0.01 m/s,-0.10 m/s,0.00 m/s,0.0022232927763225175,-2.70E-06,-1.583501883,-4 pixels,N/A,N/A,N/A
13.81 s,-4.80 m,7.68 m,0.47 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0023414223479460462,-1.88E-05,-1.583652028,-4 pixels,N/A,N/A,N/A
13.94 s,-4.80 m,7.67 m,0.47 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0023109702749488795,0.00012470206685422357,-1.583728428,-5 pixels,N/A,N/A,N/A
14.06 s,-4.80 m,7.66 m,0.47 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0023626553593627114,0.00013624136831636113,-1.583713586,-5 pixels,N/A,N/A,N/A
14.18 s,-4.80 m,7.65 m,0.47 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002356985736665266,0.0002439630069406421,-1.583760362,-6 pixels,N/A,N/A,N/A
14.3 s,-4.80 m,7.64 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002417778047184787,0.00024254105948033486,-1.583863875,-6 pixels,N/A,N/A,N/A
14.42 s,-4.80 m,7.63 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0023116936624232105,0.0003944989426679888,-1.584000535,-7 pixels,N/A,N/A,N/A
14.54 s,-4.80 m,7.62 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0022874725730863596,0.0005258667614254016,-1.584055356,-7 pixels,N/A,N/A,N/A
14.66 s,-4.80 m,7.61 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0021942991860871217,0.0005258035257734881,-1.584106891,-7 pixels,N/A,N/A,N/A
14.78 s,-4.80 m,7.60 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0021631411916810104,0.0005982241289382978,-1.584100962,-8 pixels,N/A,N/A,N/A
14.91 s,-4.80 m,7.58 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002183575339935477,0.0006133198086636265,-1.584147392,-8 pixels,N/A,N/A,N/A
15.02 s,-4.80 m,7.57 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0021545081112952775,0.0007771903894086553,-1.584271748,-8 pixels,N/A,N/A,N/A
15.15 s,-4.80 m,7.56 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002262172955361666,0.0008035443688692337,-1.584327478,-8 pixels,N/A,N/A,N/A
15.27 s,-4.80 m,7.55 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0022503868208549704,0.0009099396166872797,-1.584328624,-8 pixels,N/A,N/A,N/A
15.39 s,-4.79 m,7.54 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0023684708581776332,0.0009481564350879131,-1.584364351,-8 pixels,N/A,N/A,N/A
15.51 s,-4.79 m,7.53 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002372182902781016,0.0012007569249190275,-1.584448299,-8 pixels,N/A,N/A,N/A
15.63 s,-4.79 m,7.52 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.0023607952092008755,0.0014165416180671232,-1.584449984,-8 pixels,N/A,N/A,N/A
15.76 s,-4.79 m,7.51 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002283734604360044,0.001531968813061983,-1.584608553,-8 pixels,N/A,N/A,N/A
15.88 s,-4.79 m,7.49 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002274557082224314,0.0016554319594924934,-1.584625815,-8 pixels,N/A,N/A,N/A
16.0 s,-4.79 m,7.48 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,0.002331794333600812,0.0017250318451815891,-1.584708782,-8 pixels,N/A,N/A,N/A
16.12 s,-4.79 m,7.47 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002315380255350651,0.0018204970005425783,-1.584802423,-8 pixels,N/A,N/A,N/A
16.25 s,-4.79 m,7.46 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0024037223464072324,0.0018290845276203325,-1.584798434,-7 pixels,N/A,N/A,N/A
16.37 s,-4.79 m,7.45 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002341130325408869,0.00190967622342847,-1.584894201,-7 pixels,N/A,N/A,N/A
16.48 s,-4.79 m,7.44 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0023474110313564203,0.0018728036808368168,-1.584955393,-7 pixels,N/A,N/A,N/A
16.6 s,-4.79 m,7.43 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002175519872820846,0.0019282495521549736,-1.585054963,-7 pixels,N/A,N/A,N/A
16.72 s,-4.79 m,7.42 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002164828779257338,0.0018498193900577133,-1.585189732,-6 pixels,N/A,N/A,N/A
16.84 s,-4.79 m,7.41 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002061004579202406,0.0018547990841349593,-1.585317936,-6 pixels,N/A,N/A,N/A
16.97 s,-4.79 m,7.39 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0020396594015550423,0.0017574319394395945,-1.58534082,-6 pixels,N/A,N/A,N/A
17.09 s,-4.79 m,7.38 m,0.47 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001910136549481928,0.001650551124388482,-1.585397442,-5 pixels,N/A,N/A,N/A
