Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
0.0 s,-4.91 m,8.70 m,0.47 m,-0.01 m/s,-0.00 m/s,-0.00 m/s,-0.000508316,0.0032694943473520295,-1.584369525,-75 pixels,N/A,N/A,N/A
0.14 s,-4.91 m,8.70 m,0.47 m,-0.02 m/s,-0.01 m/s,-0.00 m/s,0.010735457054589293,0.008281618234977488,-1.600366183,-76 pixels,N/A,N/A,N/A
0.16 s,-4.91 m,8.71 m,0.47 m,-0.02 m/s,-0.01 m/s,-0.00 m/s,0.0127612428343661,0.009000273016403307,-1.601256666,-77 pixels,N/A,N/A,N/A
0.28 s,-4.91 m,8.71 m,0.47 m,-0.03 m/s,-0.03 m/s,-0.00 m/s,0.029488472197651786,0.013833398417350293,-1.604346941,-78 pixels,N/A,N/A,N/A
0.41 s,-4.92 m,8.70 m,0.47 m,-0.04 m/s,-0.06 m/s,-0.00 m/s,0.03526664311488218,0.01365012488117072,-1.602622146,-79 pixels,N/A,N/A,N/A
0.53 s,-4.92 m,8.69 m,0.47 m,-0.06 m/s,-0.09 m/s,-0.00 m/s,0.03172545887590351,0.010751313357994481,-1.59865902,-79 pixels,N/A,N/A,N/A
0.63 s,-4.93 m,8.68 m,0.47 m,-0.06 m/s,-0.12 m/s,-0.00 m/s,0.024247770629295184,0.006972795079344293,-1.594002439,-80 pixels,N/A,N/A,N/A
0.74 s,-4.94 m,8.67 m,0.47 m,-0.07 m/s,-0.14 m/s,-0.00 m/s,0.0170837464972665,0.004071973947819783,-1.589861559,-80 pixels,N/A,N/A,N/A
0.85 s,-4.94 m,8.65 m,0.47 m,-0.07 m/s,-0.15 m/s,-0.00 m/s,0.011296464285507096,0.001836569416411118,-1.586542537,-80 pixels,N/A,N/A,N/A
0.97 s,-4.95 m,8.64 m,0.46 m,-0.06 m/s,-0.16 m/s,-0.00 m/s,0.006623911896469367,0.00011156916296844193,-1.583747049,-81 pixels,N/A,N/A,N/A
