Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
0.0 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.01 m/s,-0.01 m/s,0.0021286375968732254,0.00026342769939276397,-1.564549883,-54 pixels,N/A,N/A,N/A
0.37 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.011572891792026184,-0.001390839,-1.594940777,-56 pixels,N/A,N/A,N/A
0.41 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.012695793225840279,-0.001569899,-1.596194339,-57 pixels,N/A,N/A,N/A
0.43 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.012695793225840279,-0.001569899,-1.596194339,-57 pixels,N/A,N/A,N/A
0.45 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.013889412477292118,-0.001759633,-1.597425951,-57 pixels,N/A,N/A,N/A
0.47 s,-4.69 m,8.94 m,0.46 m,0.00 m/s,-0.02 m/s,-0.01 m/s,0.014259645225320835,-0.001816952,-1.597791076,-57 pixels,N/A,N/A,N/A
0.64 s,-4.69 m,8.93 m,0.46 m,0.00 m/s,-0.03 m/s,-0.01 m/s,0.01852527885164564,-0.002345593,-1.600815902,-58 pixels,N/A,N/A,N/A
0.81 s,-4.69 m,8.93 m,0.46 m,0.01 m/s,-0.05 m/s,-0.00 m/s,0.01864829053115296,-0.002364131,-1.599428935,-57 pixels,N/A,N/A,N/A
0.83 s,-4.69 m,8.93 m,0.46 m,0.01 m/s,-0.05 m/s,-0.00 m/s,0.01863287816722476,-0.002361044,-1.599367762,-57 pixels,N/A,N/A,N/A
0.84 s,-4.69 m,8.93 m,0.46 m,0.01 m/s,-0.05 m/s,-0.00 m/s,0.018572854698662704,-0.002349358,-1.599155398,-57 pixels,N/A,N/A,N/A
1.01 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.06 m/s,-0.00 m/s,0.017048834392617066,-0.002203685,-1.595502262,-56 pixels,N/A,N/A,N/A
1.19 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.08 m/s,-0.00 m/s,0.014763723770348373,-0.002086822,-1.591049075,-55 pixels,N/A,N/A,N/A
1.21 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.08 m/s,-0.00 m/s,0.014697492246654223,-0.00207703,-1.590911914,-55 pixels,N/A,N/A,N/A
1.23 s,-4.69 m,8.92 m,0.46 m,0.01 m/s,-0.08 m/s,-0.00 m/s,0.014243214367559183,-0.002030033,-1.589984015,-55 pixels,N/A,N/A,N/A
1.37 s,-4.69 m,8.91 m,0.46 m,0.01 m/s,-0.09 m/s,-0.00 m/s,0.012587012686824531,-0.001853775,-1.586535415,-53 pixels,N/A,N/A,N/A
1.69 s,-4.69 m,8.89 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.009494093954293589,-0.001186164,-1.580278965,-51 pixels,N/A,N/A,N/A
1.71 s,-4.69 m,8.89 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.009229672369956773,-0.001145102,-1.579772028,-49 pixels,N/A,N/A,N/A
1.88 s,-4.68 m,8.88 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.008188488720751811,-0.000734218,-1.577978498,-48 pixels,N/A,N/A,N/A
1.9 s,-4.68 m,8.88 m,0.46 m,0.02 m/s,-0.11 m/s,-0.00 m/s,0.008104564106034714,-0.000671468,-1.577837814,-48 pixels,N/A,N/A,N/A
2.08 s,-4.68 m,8.86 m,0.46 m,0.02 m/s,-0.12 m/s,-0.00 m/s,0.007293589330789176,-0.000144795,-1.576624762,-46 pixels,N/A,N/A,N/A
2.25 s,-4.68 m,8.85 m,0.46 m,0.02 m/s,-0.12 m/s,-0.00 m/s,0.006519078362426169,0.00039707726802680444,-1.575704989,-44 pixels,N/A,N/A,N/A
2.27 s,-4.68 m,8.85 m,0.46 m,0.02 m/s,-0.12 m/s,-0.00 m/s,0.006519078362426169,0.00039707726802680444,-1.575704989,-44 pixels,N/A,N/A,N/A
2.28 s,-4.68 m,8.85 m,0.46 m,0.02 m/s,-0.12 m/s,-0.00 m/s,0.006468165736980366,0.00045206416079149065,-1.575641835,-44 pixels,N/A,N/A,N/A
2.45 s,-4.68 m,8.84 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0058662516900476296,0.000983078549667844,-1.575043453,-42 pixels,N/A,N/A,N/A
2.6 s,-4.68 m,8.83 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.005311224698704189,0.0014126354517796597,-1.574702185,-40 pixels,N/A,N/A,N/A
2.62 s,-4.68 m,8.83 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.005311224698704189,0.0014126354517796597,-1.574702185,-40 pixels,N/A,N/A,N/A
2.65 s,-4.68 m,8.82 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.005184151695212265,0.001537276934040692,-1.574652742,-40 pixels,N/A,N/A,N/A
2.67 s,-4.67 m,8.82 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0051283948976946145,0.001569754111355559,-1.574635462,-40 pixels,N/A,N/A,N/A
2.81 s,-4.67 m,8.81 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.004676466991793383,0.0019586181313382685,-1.57451514,-39 pixels,N/A,N/A,N/A
3.01 s,-4.67 m,8.80 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.004073009987841923,0.0023850607998918533,-1.574347166,-37 pixels,N/A,N/A,N/A
3.22 s,-4.67 m,8.78 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0035280473490570024,0.0027999942354523044,-1.574321035,-35 pixels,N/A,N/A,N/A
3.34 s,-4.67 m,8.77 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0032659587259610888,0.003002215448703529,-1.574294926,-32 pixels,N/A,N/A,N/A
3.36 s,-4.67 m,8.77 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0032521296745406667,0.003022025050945091,-1.574286779,-32 pixels,N/A,N/A,N/A
3.53 s,-4.66 m,8.76 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0029497230397386343,0.003296304352224557,-1.574298137,-30 pixels,N/A,N/A,N/A
3.7 s,-4.66 m,8.75 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0026404973912017805,0.003395308008879623,-1.574238546,-27 pixels,N/A,N/A,N/A
3.71 s,-4.66 m,8.75 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0026404973912017805,0.003395308008879623,-1.574238546,-27 pixels,N/A,N/A,N/A
3.74 s,-4.66 m,8.75 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0025984230843790253,0.0034261875064552113,-1.574220574,-27 pixels,N/A,N/A,N/A
3.75 s,-4.66 m,8.74 m,0.46 m,0.02 m/s,-0.13 m/s,-0.00 m/s,0.0025499972027751296,0.0034540100298647387,-1.574245619,-27 pixels,N/A,N/A,N/A
3.89 s,-4.66 m,8.73 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.002280615259341481,0.0034891724476750602,-1.574227997,-24 pixels,N/A,N/A,N/A
4.06 s,-4.66 m,8.72 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.0019106733347175687,0.003494736640942112,-1.574179755,-21 pixels,N/A,N/A,N/A
4.07 s,-4.66 m,8.72 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.0019106733347175687,0.003494736640942112,-1.574179755,-21 pixels,N/A,N/A,N/A
4.09 s,-4.66 m,8.72 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.001896332715952784,0.0035085782771671083,-1.574164532,-21 pixels,N/A,N/A,N/A
4.25 s,-4.66 m,8.71 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.0017013102911280671,0.003572045895609218,-1.57416825,-19 pixels,N/A,N/A,N/A
4.4 s,-4.66 m,8.69 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.0015070993476674808,0.0034997041590869773,-1.574133496,-16 pixels,N/A,N/A,N/A
4.42 s,-4.66 m,8.69 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.0015070993476674808,0.0034997041590869773,-1.574133496,-16 pixels,N/A,N/A,N/A
4.45 s,-4.66 m,8.69 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.0014886096641371204,0.0035295131854789358,-1.574095512,-16 pixels,N/A,N/A,N/A
4.47 s,-4.66 m,8.69 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.001456798070487242,0.003542424579622798,-1.574088059,-16 pixels,N/A,N/A,N/A
4.6 s,-4.66 m,8.68 m,0.46 m,0.01 m/s,-0.13 m/s,-0.00 m/s,0.0013792925951268463,0.0035061732703572527,-1.574026072,-13 pixels,N/A,N/A,N/A
4.81 s,-4.66 m,8.67 m,0.46 m,0.00 m/s,-0.13 m/s,-0.00 m/s,0.001254454723124103,0.003388614868362117,-1.573957536,-10 pixels,N/A,N/A,N/A
4.95 s,-4.66 m,8.65 m,0.46 m,0.00 m/s,-0.13 m/s,-0.00 m/s,0.0011884761405923175,0.003277358105056732,-1.57389551,-7 pixels,N/A,N/A,N/A
5.11 s,-4.66 m,8.64 m,0.46 m,0.00 m/s,-0.13 m/s,-0.00 m/s,0.0011131008143586338,0.003128002673534083,-1.573855703,-5 pixels,N/A,N/A,N/A
5.13 s,-4.66 m,8.64 m,0.46 m,0.00 m/s,-0.13 m/s,-0.00 m/s,0.0011131008143586338,0.003128002673534083,-1.573855703,-5 pixels,N/A,N/A,N/A
5.15 s,-4.66 m,8.64 m,0.46 m,0.00 m/s,-0.13 m/s,-0.00 m/s,0.0011156892345262702,0.003134106704645238,-1.573823389,-5 pixels,N/A,N/A,N/A
5.16 s,-4.66 m,8.64 m,0.46 m,0.00 m/s,-0.13 m/s,-0.00 m/s,0.0011185863615466778,0.0031461528500824976,-1.573820133,-5 pixels,N/A,N/A,N/A
5.3 s,-4.66 m,8.63 m,0.46 m,-0.00 m/s,-0.12 m/s,-0.00 m/s,0.0010770929410967782,0.0030532193800104387,-1.573773545,-2 pixels,N/A,N/A,N/A
5.47 s,-4.66 m,8.62 m,0.46 m,-0.00 m/s,-0.12 m/s,-0.00 m/s,0.0010147746958747007,0.00287709966918177,-1.573760341,0 pixels,N/A,N/A,N/A
5.49 s,-4.66 m,8.62 m,0.46 m,-0.00 m/s,-0.12 m/s,-0.00 m/s,0.0010147746958747007,0.00287709966918177,-1.573760341,0 pixels,N/A,N/A,N/A
5.5 s,-4.66 m,8.62 m,0.46 m,-0.00 m/s,-0.12 m/s,-0.00 m/s,0.0010158028120888847,0.0028932053184712596,-1.573729594,0 pixels,N/A,N/A,N/A
5.66 s,-4.66 m,8.61 m,0.46 m,-0.00 m/s,-0.12 m/s,-0.00 m/s,0.0009815382642594586,0.002808162254088055,-1.573678281,3 pixels,N/A,N/A,N/A
5.82 s,-4.66 m,8.59 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0009423124362120227,0.0026275340525899796,-1.573675697,6 pixels,N/A,N/A,N/A
5.84 s,-4.66 m,8.59 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0009423124362120227,0.0026275340525899796,-1.573675697,6 pixels,N/A,N/A,N/A
5.85 s,-4.66 m,8.59 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0009451421831715335,0.002631137294447985,-1.573658023,6 pixels,N/A,N/A,N/A
6.03 s,-4.66 m,8.58 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.001020428920816325,0.0024912898598871453,-1.573609675,8 pixels,N/A,N/A,N/A
6.29 s,-4.66 m,8.56 m,0.46 m,-0.01 m/s,-0.12 m/s,0.00 m/s,0.0012026256601621094,0.0021758342963425453,-1.57351897,10 pixels,N/A,N/A,N/A
6.37 s,-4.66 m,8.56 m,0.46 m,-0.01 m/s,-0.12 m/s,0.00 m/s,0.0012617523527539897,0.0020785835286500735,-1.573520647,13 pixels,N/A,N/A,N/A
6.51 s,-4.66 m,8.55 m,0.46 m,-0.01 m/s,-0.12 m/s,0.00 m/s,0.0013604978699040884,0.0019102873585032734,-1.57349511,15 pixels,N/A,N/A,N/A
6.53 s,-4.66 m,8.55 m,0.46 m,-0.01 m/s,-0.12 m/s,0.00 m/s,0.0013666975041000053,0.001905123379009926,-1.573484043,15 pixels,N/A,N/A,N/A
6.55 s,-4.66 m,8.55 m,0.46 m,-0.01 m/s,-0.12 m/s,0.00 m/s,0.0013890004232838564,0.0019036624842492969,-1.573460381,15 pixels,N/A,N/A,N/A
6.57 s,-4.66 m,8.54 m,0.46 m,-0.01 m/s,-0.12 m/s,0.00 m/s,0.0014194884740558677,0.0019083271059367767,-1.573477719,15 pixels,N/A,N/A,N/A
6.7 s,-4.66 m,8.54 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0015874621992275227,0.0018301326224959542,-1.573428202,17 pixels,N/A,N/A,N/A
6.86 s,-4.66 m,8.52 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0018027014015009823,0.001583237235964347,-1.573274729,19 pixels,N/A,N/A,N/A
6.88 s,-4.66 m,8.52 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0018027014015009823,0.001583237235964347,-1.573274729,19 pixels,N/A,N/A,N/A
6.9 s,-4.66 m,8.52 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0018243225998552236,0.00158402919934295,-1.573249498,19 pixels,N/A,N/A,N/A
6.92 s,-4.66 m,8.52 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0018582486361250284,0.001591678391961785,-1.573252732,19 pixels,N/A,N/A,N/A
7.06 s,-4.66 m,8.51 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.002013220482978668,0.0015212428433661316,-1.573184347,21 pixels,N/A,N/A,N/A
7.21 s,-4.66 m,8.50 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0021216404611604013,0.0012977076360735065,-1.573088396,24 pixels,N/A,N/A,N/A
7.22 s,-4.66 m,8.50 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0021216404611604013,0.0012977076360735065,-1.573088396,24 pixels,N/A,N/A,N/A
7.24 s,-4.66 m,8.50 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0021349489459218944,0.0012954196150819551,-1.573063755,24 pixels,N/A,N/A,N/A
7.25 s,-4.66 m,8.50 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0021473428032115025,0.0012995037032358652,-1.573053759,24 pixels,N/A,N/A,N/A
7.41 s,-4.66 m,8.49 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0022792535699422563,0.0012626260998389077,-1.573004408,26 pixels,N/A,N/A,N/A
7.59 s,-4.66 m,8.48 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0023562560027806856,0.0011140954830879048,-1.572925204,28 pixels,N/A,N/A,N/A
7.78 s,-4.66 m,8.47 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0024777950688430663,0.0011633411024943206,-1.572879892,30 pixels,N/A,N/A,N/A
7.97 s,-4.66 m,8.46 m,0.46 m,-0.00 m/s,-0.11 m/s,0.00 m/s,0.0025020945502494192,0.001111811063365517,-1.572817014,33 pixels,N/A,N/A,N/A
8.13 s,-4.67 m,8.44 m,0.46 m,-0.00 m/s,-0.11 m/s,0.00 m/s,0.0025403599751564615,0.0011801141931828828,-1.572763314,35 pixels,N/A,N/A,N/A
8.32 s,-4.67 m,8.43 m,0.46 m,-0.00 m/s,-0.11 m/s,0.00 m/s,0.0025517814746141045,0.0010593002837968797,-1.572659525,37 pixels,N/A,N/A,N/A
8.54 s,-4.67 m,8.42 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0026180611392628513,0.0010834962830397524,-1.57256927,40 pixels,N/A,N/A,N/A
8.67 s,-4.67 m,8.41 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0026509858681470905,0.0011173967300553743,-1.572512753,43 pixels,N/A,N/A,N/A
8.87 s,-4.67 m,8.39 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0027728054459275142,0.0009549119258189541,-1.572323312,43 pixels,N/A,N/A,N/A
9.2 s,-4.67 m,8.37 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0026963664149390124,0.000837827553914247,-1.572183426,43 pixels,N/A,N/A,N/A
9.32 s,-4.67 m,8.37 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.002666912145695316,0.0008372015266397681,-1.572136014,43 pixels,N/A,N/A,N/A
9.44 s,-4.67 m,8.36 m,0.46 m,0.00 m/s,-0.12 m/s,0.00 m/s,0.0025884304654429625,0.0008873580053720357,-1.57205991,42 pixels,N/A,N/A,N/A
9.56 s,-4.67 m,8.35 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.002514578850540939,0.0014378550597789054,-1.571875091,43 pixels,N/A,N/A,N/A
9.74 s,-4.67 m,8.34 m,0.46 m,-0.00 m/s,-0.12 m/s,0.00 m/s,0.0024071502074771707,0.0067656140052841885,-1.571825293,44 pixels,N/A,N/A,N/A
9.9 s,-4.67 m,8.33 m,0.46 m,-0.01 m/s,-0.12 m/s,0.00 m/s,0.002271023060175947,0.00926441430966233,-1.571727295,45 pixels,N/A,N/A,N/A
10.09 s,-4.67 m,8.32 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.002164049877977994,0.008182289142899053,-1.571527072,44 pixels,N/A,N/A,N/A
10.24 s,-4.67 m,8.30 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.002079022594460212,0.003064398138780011,-1.571358402,42 pixels,N/A,N/A,N/A
10.45 s,-4.67 m,8.29 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.0019155928421187775,0.0017895849399416222,-1.571264237,40 pixels,N/A,N/A,N/A
10.63 s,-4.67 m,8.28 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.001779845896083531,0.0020708116497981164,-1.57119209,40 pixels,N/A,N/A,N/A
10.78 s,-4.68 m,8.27 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.0016960373827385443,0.0018066273930386404,-1.57113293,39 pixels,N/A,N/A,N/A
10.94 s,-4.68 m,8.26 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.001590570606048126,0.0053191182875347775,-1.571098951,39 pixels,N/A,N/A,N/A
11.12 s,-4.68 m,8.25 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.0015616920992556236,0.004446285862242563,-1.570971474,38 pixels,N/A,N/A,N/A
11.29 s,-4.68 m,8.23 m,0.46 m,-0.02 m/s,-0.12 m/s,0.00 m/s,0.001547992736959595,0.0013691755745989691,-1.570889681,37 pixels,N/A,N/A,N/A
11.54 s,-4.69 m,8.22 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0016738445118879867,-0.002014975,-1.570794866,35 pixels,N/A,N/A,N/A
11.7 s,-4.69 m,8.20 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0017218052079134073,-0.000870933,-1.570748455,34 pixels,N/A,N/A,N/A
11.83 s,-4.69 m,8.20 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0017404244681603154,0.002751815641866617,-1.570682934,34 pixels,N/A,N/A,N/A
12.02 s,-4.69 m,8.18 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0018507461226840148,0.00041070203490410867,-1.570591299,34 pixels,N/A,N/A,N/A
12.15 s,-4.69 m,8.17 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.001846911418887427,-0.001183735,-1.570540575,33 pixels,N/A,N/A,N/A
12.27 s,-4.69 m,8.16 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0017943875144782286,-0.001011433,-1.570505434,32 pixels,N/A,N/A,N/A
12.44 s,-4.69 m,8.15 m,0.46 m,-0.01 m/s,-0.11 m/s,0.00 m/s,0.0017492877631514541,0.004495030240279886,-1.570474684,33 pixels,N/A,N/A,N/A
12.59 s,-4.69 m,8.14 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.001701182589867038,0.0070772397273821145,-1.570411655,33 pixels,N/A,N/A,N/A
12.79 s,-4.70 m,8.13 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0017921003166550644,0.007459166712650352,-1.57026105,33 pixels,N/A,N/A,N/A
12.95 s,-4.70 m,8.12 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0018046581448023515,0.0017530935369790485,-1.570135448,31 pixels,N/A,N/A,N/A
13.14 s,-4.70 m,8.11 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0017823718623625206,0.0012136112425248566,-1.570058799,29 pixels,N/A,N/A,N/A
13.26 s,-4.70 m,8.10 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0017110768048132574,0.0013882454544255527,-1.569967423,28 pixels,N/A,N/A,N/A
13.46 s,-4.71 m,8.09 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0016157276466770313,-0.000249632,-1.569921708,27 pixels,N/A,N/A,N/A
13.65 s,-4.71 m,8.07 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.001493793264558427,0.0012184627748834925,-1.56973508,26 pixels,N/A,N/A,N/A
13.8 s,-4.71 m,8.06 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.001467880925342994,0.002388303209126005,-1.569648993,26 pixels,N/A,N/A,N/A
13.95 s,-4.71 m,8.05 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.001448826846849684,0.005267451963826663,-1.569581887,26 pixels,N/A,N/A,N/A
14.15 s,-4.72 m,8.04 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0015453333882901555,0.0038584038897955817,-1.569447656,25 pixels,N/A,N/A,N/A
14.29 s,-4.72 m,8.03 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0015418411746650402,0.002027420962426107,-1.569430417,23 pixels,N/A,N/A,N/A
14.47 s,-4.72 m,8.02 m,0.46 m,-0.03 m/s,-0.11 m/s,0.00 m/s,0.0015689736793509112,0.003314139249367789,-1.569388871,23 pixels,N/A,N/A,N/A
14.63 s,-4.72 m,8.01 m,0.46 m,-0.03 m/s,-0.11 m/s,0.00 m/s,0.001558296607821221,0.0018305309518606779,-1.569274954,21 pixels,N/A,N/A,N/A
14.82 s,-4.73 m,8.00 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.001620904926650537,0.0004076898230090158,-1.56915832,20 pixels,N/A,N/A,N/A
14.98 s,-4.73 m,7.99 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0015569997981147953,-0.001556048,-1.569130753,18 pixels,N/A,N/A,N/A
15.16 s,-4.73 m,7.98 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0015177292875280493,-0.001085567,-1.569047621,18 pixels,N/A,N/A,N/A
15.37 s,-4.73 m,7.96 m,0.46 m,-0.02 m/s,-0.11 m/s,0.00 m/s,0.0014100276546232166,0.004190513270174777,-1.569022817,18 pixels,N/A,N/A,N/A
15.53 s,-4.73 m,7.95 m,0.46 m,-0.02 m/s,-0.11 m/s,-0.00 m/s,0.0014760409581179806,0.0045633161531677905,-1.568959298,18 pixels,N/A,N/A,N/A
15.65 s,-4.73 m,7.94 m,0.46 m,-0.02 m/s,-0.11 m/s,-0.00 m/s,0.0014788898749369848,0.004312986445842205,-1.568949496,17 pixels,N/A,N/A,N/A
15.84 s,-4.74 m,7.93 m,0.46 m,-0.02 m/s,-0.11 m/s,-0.00 m/s,0.00167801801637198,-9.15E-05,-1.568741318,15 pixels,N/A,N/A,N/A
16.0 s,-4.74 m,7.92 m,0.46 m,-0.02 m/s,-0.11 m/s,-0.00 m/s,0.0016878576062296683,-0.002245813,-1.568703077,14 pixels,N/A,N/A,N/A
16.18 s,-4.74 m,7.91 m,0.46 m,-0.02 m/s,-0.11 m/s,-0.00 m/s,0.0016749665716276078,-0.001774973,-1.568603102,13 pixels,N/A,N/A,N/A
16.35 s,-4.74 m,7.90 m,0.46 m,-0.01 m/s,-0.11 m/s,-0.00 m/s,0.0014814497868782426,0.0006341692950545356,-1.568594731,13 pixels,N/A,N/A,N/A
16.52 s,-4.74 m,7.89 m,0.46 m,-0.01 m/s,-0.11 m/s,-0.00 m/s,0.0014235753162949439,0.00162127201818637,-1.568517632,13 pixels,N/A,N/A,N/A
16.67 s,-4.75 m,7.88 m,0.46 m,-0.01 m/s,-0.11 m/s,-0.00 m/s,0.0013535072986859567,-9.70E-05,-1.568450137,12 pixels,N/A,N/A,N/A
16.89 s,-4.75 m,7.87 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0013692781796804036,0.000756855048521152,-1.568355727,12 pixels,N/A,N/A,N/A
17.03 s,-4.75 m,7.86 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0013581312631509637,0.0014149144632976333,-1.568311091,11 pixels,N/A,N/A,N/A
17.19 s,-4.75 m,7.85 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0014708309485689484,0.004786257746614919,-1.568267747,12 pixels,N/A,N/A,N/A
17.33 s,-4.75 m,7.84 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0015880919662259866,0.002736351239708838,-1.568174426,11 pixels,N/A,N/A,N/A
17.47 s,-4.75 m,7.83 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0017309133403185328,0.0031261654979796182,-1.56811219,11 pixels,N/A,N/A,N/A
17.63 s,-4.75 m,7.82 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0017790779854237383,0.003310599643649873,-1.568095182,10 pixels,N/A,N/A,N/A
17.81 s,-4.75 m,7.81 m,0.46 m,-0.02 m/s,-0.10 m/s,-0.00 m/s,0.0018566712724297628,0.004257887264360046,-1.568003727,10 pixels,N/A,N/A,N/A
17.97 s,-4.76 m,7.80 m,0.46 m,-0.02 m/s,-0.10 m/s,-0.00 m/s,0.0017746366888822427,-0.00033787,-1.567838869,8 pixels,N/A,N/A,N/A
18.16 s,-4.76 m,7.79 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.001840711079505087,-0.003005359,-1.567760773,7 pixels,N/A,N/A,N/A
18.3 s,-4.76 m,7.78 m,0.46 m,-0.01 m/s,-0.10 m/s,-0.00 m/s,0.0018027648404233118,-0.00331042,-1.567700986,6 pixels,N/A,N/A,N/A
18.68 s,-4.76 m,7.75 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0020986665537049217,-0.001809727,-1.56761258,6 pixels,N/A,N/A,N/A
