Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
190.56 s,-4.80 m,-5.36 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0020512558365734543,0.0007048401197171875,-1.579381875,-47 pixels,N/A,N/A,N/A
190.69 s,-4.80 m,-5.38 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019633563558517646,0.0008890639568063125,-1.579430944,-47 pixels,N/A,N/A,N/A
190.8 s,-4.80 m,-5.38 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001943349016225141,0.0008556188381089183,-1.579441429,-47 pixels,N/A,N/A,N/A
190.93 s,-4.80 m,-5.39 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001853175366337827,0.0010180211498231773,-1.57951455,-47 pixels,N/A,N/A,N/A
191.05 s,-4.80 m,-5.41 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019654984741651993,0.0011333665912313883,-1.579580612,-47 pixels,N/A,N/A,N/A
191.19 s,-4.80 m,-5.42 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002073569335373091,0.0012239930213714617,-1.5796733,-46 pixels,N/A,N/A,N/A
191.27 s,-4.80 m,-5.42 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0021648782519278283,0.0013053105589802614,-1.579730482,-46 pixels,N/A,N/A,N/A
191.38 s,-4.80 m,-5.43 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0022042263332725195,0.0014295528515129578,-1.579862502,-46 pixels,N/A,N/A,N/A
191.51 s,-4.80 m,-5.44 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0022954306578038867,0.001426981757144701,-1.579942956,-46 pixels,N/A,N/A,N/A
191.64 s,-4.80 m,-5.45 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0022908390107937073,0.0014833780463069577,-1.580028482,-46 pixels,N/A,N/A,N/A
