Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad)
5.08,0.3147557722262594,-5.395081009138138,0.4808702169654122,0.09812097294145597,-2.4806781237321717e-05,-0.0018311833871856255,0.0013487226546295464,0.0013055179701043297,-0.0011384531045530763
5.19,0.3220823935671894,-5.395079321281574,0.4807270683142009,0.09765284769617935,1.485424860232958e-05,-0.0019419304610183152,0.0014225067235221196,0.0013137927979891962,-0.0011709660406813709
5.20,0.3225710738651947,-5.395080048437581,0.48071736656859904,0.09764574207758148,2.0966226733547385e-05,-0.0019378389250315053,0.0014200886263036263,0.0013094618068770682,-0.0011717664083544703
5.21,0.32335293073359417,-5.395082955767801,0.4807019011590846,0.09759302713714857,4.6056024424944564e-05,-0.001926971573424592,0.0014147778550942505,0.0012927750531242423,-0.0011723092907994885
5.22,0.324036872280469,-5.395085510454701,0.48068848338717063,0.09753360505588944,4.417265085953358e-05,-0.0019082912900644322,0.0014095662095094585,0.0012781314302865022,-0.0011695302971413248
5.24,0.3256002456310029,-5.3950846743452034,0.48065851619055233,0.0974378470086424,-1.3309848824315605e-05,-0.0018451932161232423,0.001391924121858043,0.001281825591665038,-0.001154628856961555
5.24,0.3262840843371439,-5.395081213148505,0.48064566913345985,0.09741962828707695,-3.7541317464489625e-05,-0.0018281763001167916,0.0013826566391922572,0.0013006153478234738,-0.0011520821719771545
5.25,0.32647929079749005,-5.395079968874346,0.4806420191109583,0.09739297254669081,-2.945159077982943e-05,-0.001824849521716982,0.001380568146859389,0.00130731991359333,-0.001152228913302821
5.26,0.3266745538657425,-5.395078844235671,0.48063837355892247,0.09738797151446572,-2.9703859554306973e-05,-0.0018228449685420668,0.001378069844668801,0.0013133928281150902,-0.0011508291477217544
5.26,0.32706474130880614,-5.395076435167158,0.4806310853284239,0.09738727273136069,-4.661094489724974e-05,-0.0018235340254725892,0.0013749177565397961,0.0013266459739759242,-0.0011452414492185018
5.27,0.36538600738392063,-5.395452116303322,0.4798865319350489,0.09572317160950802,-0.0007378751025442649,-0.0019987082145590876,0.0016329456038513082,0.0007928954229638858,0.09372447815583905
5.78,0.3654819740605517,-5.395455331899339,0.47988453117421337,0.09573531217488529,-0.000726150424507268,-0.0019987987886407356,0.0016328103150015283,0.000780380315017772,0.09391515775740913
5.78,0.36557788869080066,-5.395458550349696,0.4798825300394873,0.09574235306302367,-0.0007172608735267385,-0.0019992978880685516,0.0016329878826195968,0.0007678324701611367,0.09410509222872022
5.79,0.36557788869080066,-5.395458550349696,0.4798825300394873,0.09574235306302367,-0.0007172608735267385,-0.0019992978880685516,0.0016329878826195968,0.0007678324701611367,0.09410509222872022
5.80,0.36672834892348966,-5.395496232022316,0.4798583394128661,0.09570682413472295,-0.0006382121686783271,-0.0020315405276542624,0.0016365710260177304,0.0006195736166432374,0.09632684959820717
5.80,0.3673037201702177,-5.395514340759839,0.47984613522261466,0.09572512362672839,-0.0005679096445664733,-0.0020288051926132893,0.0016373905065190902,0.0005467027634490248,0.09739287830714694
5.81,0.3681663349682238,-5.395540576158879,0.47982805328760403,0.09570976812846599,-0.00048160377619156934,-0.001989742290851351,0.0016407000766309428,0.00043904252599821666,0.09894955200266707
5.82,0.3687412454968927,-5.395557592711128,0.47981614551197843,0.09566934781620909,-0.0004341856738196721,-0.0019834675400634636,0.0016432456203038237,0.00036757428566808615,0.09998149125648984
5.96,0.3786581944598102,-5.395693525216611,0.47960926377912144,0.09512032587130369,0.0006694893617098689,-0.0019456698689785462,0.001770548284652708,-0.00032350795610349694,0.12906196538713838
6.08,0.3885281493301811,-5.395504625140132,0.47941210812185175,0.09489783735419015,0.0022173182059307805,-0.0019242993534409351,0.0017976978758077935,-3.992116949870831e-05,0.17788042056117045
6.19,0.39638175578289486,-5.395250024720892,0.47925169975663173,0.0948291601827243,0.003495807921744496,-0.001889845898715286,0.0018844822764244866,0.00011729609990642621,0.21736526038373274
6.33,0.4474470849774091,-5.390307642257819,0.47838366066374727,0.09139350406378284,0.026649503990617385,-0.0010246471899686483,0.0029620088114520366,-0.006168220873277735,0.39297457202020936
6.84,0.4475381800858822,-5.390281043262715,0.4783826369140772,0.09137968041646903,0.026727653039319246,-0.0010247354361895172,0.0029640535967599517,-0.006168058516081968,0.3930464493016358
6.84,0.4479930098311788,-5.390146806919353,0.4783775165728297,0.0913082634476059,0.027064321902467277,-0.0010246886806879409,0.002975864889770076,-0.006165369594004125,0.3933956303150612
6.85,0.448265466692688,-5.390064903279035,0.4783744393193077,0.09125646744593778,0.02730660211142767,-0.0010259145053950654,0.00298311118854835,-0.006160993063780184,0.3935976774733327
6.86,0.4485375654840189,-5.38998246565859,0.47837135792658214,0.09121721494121908,0.027524856560865358,-0.0010277227558690932,0.0029917153115242663,-0.006156937275321272,0.39379355050190423
6.92,0.45286882448103544,-5.38855091053849,0.4783213815848948,0.09036172349577144,0.030880459188077667,-0.001040583679267458,0.0030849472483019036,-0.005966040757160069,0.3971103884520174
7.04,0.46165844842359255,-5.384956628837952,0.4782289309670369,0.08870997716820755,0.0369125845950837,-0.0008257285501505635,0.003058539007435971,-0.004674861663579598,0.41961695692678586
7.17,0.4703628765418229,-5.3807121906009465,0.4781478832795866,0.08759610758880076,0.041976495530142426,-0.0007740598608417695,0.0030604501648572578,-0.003024707182192985,0.4514397765042378
7.28,0.4790874931611382,-5.376020221824689,0.4780861268279533,0.0869135881336865,0.045641777945271134,-0.00043852368444670576,0.002938717817260759,-0.0015732251053145222,0.4836632837984151
7.40,0.5236694500099714,-5.34876271283979,0.47805914921529774,0.08304527736037377,0.06133904882229587,0.000443337490425768,0.002893109231176351,-0.0023798161268938248,0.5654484208582016
7.91,0.5237523188030551,-5.348700550231118,0.4780595913833362,0.08304316481112275,0.06137650237656825,0.0004447609246435827,0.002891737938084265,-0.0023758899763174123,0.5654628264470722
7.92,0.5240005933451551,-5.348513844673645,0.47806092937400596,0.08302004559847026,0.061473804004156016,0.0004504262840573164,0.0028888598349971887,-0.002363236654599723,0.5655039909331443
7.93,0.5244968857535698,-5.3481393444689695,0.47806364176543137,0.08293199396119201,0.06167538197881797,0.0004576291335686432,0.002881603923978848,-0.002337508634726976,0.5655838208164838
7.93,0.524662135915389,-5.348014186003024,0.4780645568946087,0.08292387320077765,0.061738468768151054,0.0004611530075881651,0.002879579919567516,-0.0023283524557292825,0.565611453498447
8.02,0.5304006048398073,-5.343523046283352,0.4781010981924516,0.08214096672152717,0.06385538060777599,0.0005811753966415491,0.0027815078813166138,-0.001822004037679477,0.5660272262677507
8.14,0.5385431118177173,-5.336770358174273,0.47816293872886045,0.0812811848819041,0.06620498363285304,0.0006832705483635281,0.002752972516612334,-0.0007631172711349195,0.5654821805562121
8.26,0.5465763959062107,-5.329916237155906,0.4782365897827433,0.08084225529111293,0.06766143980985918,0.0007862902163776175,0.0026344603262436197,8.422087837551356e-05,0.5642977833075234
8.39,0.5544205966828281,-5.323108312471207,0.4783244672562099,0.08079796035860314,0.0683227816747244,0.0009554803745700122,0.002583716398769558,0.0008776758843399726,0.5633645788248074
8.51,0.5975223587520252,-5.287574289951062,0.47891750111873554,0.08379121012404737,0.06289988814431559,0.0013050718809071073,0.0018910691897999663,0.0032182025582498264,0.5592359639946641
9.01,0.597689570847093,-5.287448054158122,0.47892012108717197,0.0838308649225003,0.06286153825652334,0.0013103731937416617,0.0018916073485966054,0.003221490483426006,0.5592288799801539
9.02,0.5977731575026349,-5.287384976997504,0.47892143652467534,0.08385300608679716,0.06284025616586554,0.001314145693221443,0.0018921326083770373,0.0032232387605493898,0.5592252318034152
9.02,0.5981072780640053,-5.28713297346341,0.47892674024059223,0.08385149659653762,0.06278820734228799,0.0013303645648995773,0.0018958054479533408,0.0032302678651137196,0.5592104577588423
9.03,0.5986097811208058,-5.286757393602652,0.4789348069005059,0.08392679438456381,0.06269320193485863,0.0013559329093113005,0.0019016829257547424,0.003228704774311474,0.5591874557685177
